Date,Region name,Site name,Survey type,Plot number,Round,Include in analysis?,Sheet uploaded?,Entered?
"Monday, April 1, 2024",pittmeadows,bks_neaves,rodent (holes only),p1 and p2. ditch sampled May 1.,1,y,y,
"Monday, April 1, 2024",pittpeadows,gwb_neaves,rodent (holes only),p1 and p2. ditch sampled April 17,1,y,y,
"Monday, April 1, 2024",pittmeadows,bks_neaves,vegetation (rodent),ditch sampled April 30.,1,n,don't include (R1 rod),don't enter yet
"Monday, April 1, 2024",pittpeadows,gwb_neaves,vegetation (rodent),all,1,n,don't include (R1 rod),don't enter yet
"Tuesday, April 16, 2024",delta_3,bates_57b,rodent (holes only),"p1 and p2. ditch sampled on May 6, 2024.",1,y,y,
"Tuesday, April 16, 2024",delta_3,bates_57b,vegetation (rodent),"p1 and p2. ditch sampled on May 16, 2024.",1,n,don't include (R1 rod),don't enter yet
"Wednesday, April 17, 2024",pittpeadows,gwb_neaves,rodent (holes only),d,1,y,y,
"Tuesday, April 23, 2024",surrey,avtar_168,vegetation (bee and rodent),all except p1 t2 (redone on April 26),NS,n,y,don't enter yet
"Wednesday, April 24, 2024",surrey,surjit_168,rodent (holes only),"p1 and p2. ditch sampled April 26, 2024",1,y,y,
"Wednesday, April 24, 2024",surrey,surjit_168,vegetation (bee and rodent),all,NS,n,,don't enter yet
"Friday, April 26, 2024",surrey,avtar_168,bombus,all,NS,n,y,NC
"Friday, April 26, 2024",surrey,surjit_168,bombus,all,NS,n,y,don't enter yet
"Friday, April 26, 2024",surrey,avtar_168,rodent (holes only),d,1,y,y,
"Friday, April 26, 2024",surrey,surjit_168,rodent (holes only),d,1,y,y,
"Friday, April 26, 2024",surrey,avtar_168,vegetation (bee and rodent),p1 t2,NS,n,y,don't enter yet
"Tuesday, April 30, 2024",pittmeadows,bks_neaves,vegetation (rodent),d,1,n,don't include (R1 rod),don't enter yet
"Wednesday, May 1, 2024",pittmeadows,bks_neaves,rodent (holes only),d,1,y,y,
"Friday, May 3, 2024",delta_1,bks_68,rodent (holes only),all,1,y,y,
"Friday, May 3, 2024",delta_1,chong_68,rodent (holes only),all,1,y,y,
"Monday, May 6, 2024",delta_2,bks_96,rodent (holes only),all,1,y,y,
"Monday, May 6, 2024",delta_2,chong_96,rodent (holes only),all,1,y,y,
"Monday, May 6, 2024",delta_3,bates_57b,rodent (holes only),d,1,y,y,
"Monday, May 6, 2024",delta_3,bks_56,rodent (holes only),all,1,y,y,
"Tuesday, May 14, 2024",delta_1,bks_68,bombus,all,1,y,y,NC
"Tuesday, May 14, 2024",delta_1,chong_68,bombus,all,1,y,y,NC
"Tuesday, May 14, 2024",delta_1,bks_68,vegetation (bee and rodent),all,1,y,y,
"Tuesday, May 14, 2024",delta_1,chong_68,vegetation (bee and rodent),all,1,y,y,
"Wednesday, May 15, 2024",delta_2,bks_96,bombus,all,1,y,y,NC
"Wednesday, May 15, 2024",delta_2,chong_96,bombus,all,1,y,y,NC
"Wednesday, May 15, 2024",delta_2,bks_96,vegetation (bee and rodent),all,1,y,y,
"Wednesday, May 15, 2024",delta_2,chong_96,vegetation (bee and rodent),all,1,y,y,
"Thursday, May 16, 2024",delta_3,bates_57b,vegetation (rodent),d,1,n,don't include (R1 rod),don't enter yet
"Thursday, May 16, 2024",delta_3,bks_56,vegetation (rodent),all,1,n,don't include (R1 rod),don't enter yet
"Wednesday, May 22, 2024",pittmeadows,bks_neaves,bombus,all,1,y,y,NC
"Wednesday, May 22, 2024",pittpeadows,gwb_neaves,bombus,all,1,y,y,NC
"Wednesday, May 22, 2024",pittmeadows,bks_neaves,vegetation (bee),all,1,y,y,
"Wednesday, May 22, 2024",pittpeadows,gwb_neaves,vegetation (bee),all,1,y,y,
"Thursday, May 23, 2024",surrey,avtar_168,rodent (holes only),"p1 and p2. ditch sampled April 26, 2024",1,y,y,
"Thursday, May 23, 2024",surrey,avtar_168,bombus,all,1,y,y,NC
"Thursday, May 23, 2024",surrey,avtar_168,vegetation (bee),all,1,y,y,
"Thursday, May 23, 2024",surrey,surjit_168,vegetation (bee),p1 and ditch floral abundance,1,y,y,
"Friday, May 24, 2024",surrey,surjit_168,bombus,all,1,y,y,NC
