date,site_id,plot_id,behaviour,caste,flower_code,flower_species,bee_code,bee_species
4/13/2024,chong_96,field,flying,queen,na,na,na,unknown
4/13/2024,chong_96,field,flying,queen,na,na,na,unknown
4/13/2024,chong_96,ditch,flying,queen,na,na,boim,bombus_impatiens
4/13/2024,chong_96,ditch,nest_searching,queen,na,na,bovo,bombus_vosnesenskii
4/13/2024,chong_96,ditch,flying,queen,na,na,boim,bombus_impatiens
4/13/2024,chong_96,ditch,flying,queen,na,na,boim,bombus_impatiens
4/13/2024,chong_96,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/13/2024,chong_96,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/13/2024,chong_96,ditch,flying,queen,na,na,na,unknown
4/15/2024,bates_57b,field,flying,unknown,na,na,na,unknown
4/15/2024,bates_57b,field,flying,unknown,na,na,na,unknown
4/15/2024,bates_57b,field,flying,unknown,na,na,na,unknown
4/15/2024,bates_57b,field,flying,unknown,na,na,na,unknown
4/15/2024,bates_57b,field,nest_searching,queen,na,na,na,unknown
4/15/2024,bates_57b,field,nest_searching,queen,na,na,na,unknown
4/15/2024,bates_57b,field,foraging,unknown,vaco,vaccinium_corymbosum,na,unknown
4/15/2024,bates_57b,field,foraging,unknown,taof,taraxacum_officinale,na,unknown
4/15/2024,bates_57b,field,foraging,worker,taof,taraxacum_officinale,boim,bombus_impatiens
4/15/2024,bates_57b,field,nest_searching,queen,na,na,bovo,bombus_vosnesenskii
4/15/2024,bates_57b,field,flying,unknown,na,na,na,unknown
4/15/2024,bates_57b,field,flying,unknown,na,na,na,unknown
4/15/2024,bates_57b,field,foraging,unknown,vaco,vaccinium_corymbosum,bovo,bombus_vosnesenskii
4/15/2024,bates_57b,field,foraging,unknown,vaco,vaccinium_corymbosum,boim,bombus_impatiens
4/15/2024,bates_57b,field,flying,unknown,na,na,na,unknown
4/18/2024,bks_68,field,nest_searching,queen,na,na,na,unknown
4/18/2024,bks_68,field,flying,unknown,na,na,boim,bombus_impatiens
4/18/2024,bks_68,field,foraging,unknown,vaco,vaccinium_corymbosum,boim,bombus_impatiens
4/18/2024,bks_68,field,flying,unknown,na,na,boim,bombus_impatiens
4/18/2024,bks_68,field,foraging,worker,vaco,vaccinium_corymbosum,boim,bombus_impatiens
4/18/2024,bks_96,field,foraging,worker,vaco,vaccinium_corymbosum,boim,bombus_impatiens
4/18/2024,bks_96,field,flying,queen,na,na,bomi,bombus_mixtus
4/18/2024,bks_96,field,flying,queen,na,na,bomi,bombus_mixtus
4/18/2024,bks_96,field,flying,queen,na,na,na,unknown
4/18/2024,bks_96,field,flying,queen,na,na,na,unknown
4/18/2024,bks_96,field,flying,queen,na,na,na,unknown
4/18/2024,bks_96,field,flying,queen,na,na,na,unknown
4/19/2024,bks_56,field,nest_searching,unknown,na,na,na,unknown
4/19/2024,bks_56,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/19/2024,bks_56,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/19/2024,bks_56,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/19/2024,bks_56,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/19/2024,bks_56,field,nest_searching,queen,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,nest_searching,queen,na,na,na,unknown
4/19/2024,bates_57b,ditch,flying,queen,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,flying,queen,na,na,bovo,bombus_vosnesenskii
4/19/2024,bates_57b,ditch,flying,queen,na,na,bovo,bombus_vosnesenskii
4/19/2024,bates_57b,ditch,flying,queen,na,na,na,unknown
4/19/2024,bates_57b,ditch,flying,queen,na,na,na,unknown
4/19/2024,bates_57b,ditch,flying,male,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,flying,male,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,nest_searching,queen,na,na,boru,bombus_rufocinctus
4/19/2024,bates_57b,ditch,flying,male,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,flying,male,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,flying,male,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,flying,male,na,na,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,foraging,queen,taof,taraxacum_officinale,boim,bombus_impatiens
4/19/2024,bates_57b,ditch,flying,queen,na,na,boim,bombus_impatiens
4/21/2024,chong_68,field,foraging,unknown,vaco,vaccinium_corymbosum,bomi,bombus_mixtus
4/21/2024,chong_68,field,nest_searching,queen,na,na,bovo,bombus_vosnesenskii
4/21/2024,chong_68,field,nest_searching,unknown,na,na,na,unknown
4/21/2024,chong_68,field,nest_searching,unknown,na,na,na,unknown
4/21/2024,chong_68,field,nest_searching,queen,na,na,boim,bombus_impatiens
4/21/2024,chong_68,field,foraging,queen,vaco,vaccinium_corymbosum,bovo,bombus_vosnesenskii
4/21/2024,chong_68,field,nest_searching,queen,na,na,boim,bombus_impatiens
4/21/2024,chong_68,field,foraging,unknown,vaco,vaccinium_corymbosum,na,unknown
4/21/2024,chong_68,field,nest_searching,queen,na,na,boim,bombus_impatiens
4/21/2024,chong_68,field,nest_searching,queen,na,na,boim,bombus_impatiens
4/21/2024,chong_68,field,flying,queen,na,na,boim,bombus_impatiens
4/21/2024,chong_68,field,flying,queen,na,na,boim,bombus_impatiens
4/26/2024,avtar_168,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/26/2024,avtar_168,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/26/2024,avtar_168,ditch,nest_searching,queen,na,na,boim,bombus_impatiens
4/26/2024,avtar_168,ditch,nest_searching,queen,na,na,bovo,bombus_vosnesenskii
4/26/2024,avtar_168,ditch,flying,queen,na,na,na,unknown
4/26/2024,avtar_168,field,foraging,queen,vaco,vaccinium_corymbosum,boru,bombus_rufocinctus
4/26/2024,avtar_168,field,foraging,queen,vaco,vaccinium_corymbosum,boim,bombus_impatiens
4/26/2024,avtar_168,field,foraging,queen,vaco,vaccinium_corymbosum,boim,bombus_impatiens
4/26/2024,avtar_168,field,foraging,queen,vaco,vaccinium_corymbosum,boim,bombus_impatiens
4/26/2024,avtar_168,field,foraging,queen,vaco,vaccinium_corymbosum,boim,bombus_impatiens
