Date,Region name,Site name,Survey type,Plot number,Round,Include in analysis?,Sheet uploaded?,Entered?
2024-04-01,pittmeadows,bks_neaves,rodent (holes only),p1 and p2. ditch sampled May 1.,1,y,y,
2024-04-01,pittpeadows,gwb_neaves,rodent (holes only),p1 and p2. ditch sampled April 17,1,y,y,
2024-04-01,pittmeadows,bks_neaves,vegetation (rodent),ditch sampled April 30.,1,n,don't include (R1 rod),don't enter yet
2024-04-01,pittpeadows,gwb_neaves,vegetation (rodent),all,1,n,don't include (R1 rod),don't enter yet
2024-04-16,delta_3,bates_57b,rodent (holes only),"p1 and p2. ditch sampled on May 6, 2024.",1,y,y,
2024-04-16,delta_3,bates_57b,vegetation (rodent),"p1 and p2. ditch sampled on May 16, 2024.",1,n,don't include (R1 rod),don't enter yet
2024-04-17,pittpeadows,gwb_neaves,rodent (holes only),d,1,y,y,
2024-04-23,surrey,avtar_168,vegetation (bee and rodent),all except p1 t2 (redone on April 26),NS,n,y,don't enter yet
2024-04-24,surrey,surjit_168,rodent (holes only),"p1 and p2. ditch sampled April 26, 2024",1,y,y,
2024-04-24,surrey,surjit_168,vegetation (bee and rodent),all,NS,n,,don't enter yet
2024-04-26,surrey,avtar_168,bombus,all,NS,n,y,NC
2024-04-26,surrey,surjit_168,bombus,all,NS,n,y,don't enter yet
2024-04-26,surrey,avtar_168,rodent (holes only),d,1,y,y,
2024-04-26,surrey,surjit_168,rodent (holes only),d,1,y,y,
2024-04-26,surrey,avtar_168,vegetation (bee and rodent),p1 t2,NS,n,y,don't enter yet
2024-04-30,pittmeadows,bks_neaves,vegetation (rodent),d,1,n,don't include (R1 rod),don't enter yet
2024-05-01,pittmeadows,bks_neaves,rodent (holes only),d,1,y,y,
2024-05-03,delta_1,bks_68,rodent (holes only),all,1,y,y,
2024-05-03,delta_1,chong_68,rodent (holes only),all,1,y,y,
2024-05-06,delta_2,bks_96,rodent (holes only),all,1,y,y,
2024-05-06,delta_2,chong_96,rodent (holes only),all,1,y,y,
2024-05-06,delta_3,bates_57b,rodent (holes only),d,1,y,y,
2024-05-06,delta_3,bks_56,rodent (holes only),all,1,y,y,
2024-05-14,delta_1,bks_68,bombus,all,1,y,y,NC
2024-05-14,delta_1,chong_68,bombus,all,1,y,y,NC
2024-05-14,delta_1,bks_68,vegetation (bee and rodent),all,1,y,y,
2024-05-14,delta_1,chong_68,vegetation (bee and rodent),all,1,y,y,
2024-05-15,delta_2,bks_96,bombus,all,1,y,y,NC
2024-05-15,delta_2,chong_96,bombus,all,1,y,y,NC
2024-05-15,delta_2,bks_96,vegetation (bee and rodent),all,1,y,y,
2024-05-15,delta_2,chong_96,vegetation (bee and rodent),all,1,y,y,
2024-05-16,delta_3,bates_57b,vegetation (rodent),d,1,n,don't include (R1 rod),don't enter yet
2024-05-16,delta_3,bks_56,vegetation (rodent),all,1,n,don't include (R1 rod),don't enter yet
2024-05-22,pittmeadows,bks_neaves,bombus,all,1,y,y,NC
2024-05-22,pittpeadows,gwb_neaves,bombus,all,1,y,y,NC
