date,observers,site_id,round,plot_id,transect_id,transect_section,sample_code,behaviour,caste,flower_code,flower_species,bee_code,bee_species,caught,photo_series,notes
4/13/2024,RG,chong_96,NS,p1,full-plot,net-floral,chong_96_NS_p1_full-plot_net-floral,flying,q, , , ,  ,n,,could not ID
4/13/2024,RG,chong_96,NS,p2,full-plot,net-floral,chong_96_NS_p2_full-plot_net-floral,flying,q, , , ,  ,n,,could not ID
4/13/2024,RG,chong_96,NS,d ,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,flying,q, , ,boim,bombus_impatiens,y,,
4/13/2024,RG,chong_96,NS,d ,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,nest_searching,q, , ,bovo,bombus_vosnesenskii,n,,
4/13/2024,RG,chong_96,NS,d ,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,flying,q, , ,boim,bombus_impatiens,  ,,
4/13/2024,RG,chong_96,NS,d ,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,flying,q, , ,boim,bombus_impatiens,  ,,
4/13/2024,RG,chong_96,NS,d ,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,nest_searching,q, , ,boim,bombus_impatiens,  ,,
4/13/2024,RG,chong_96,NS,d ,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,nest_searching,q, , ,boim,bombus_impatiens,  ,,
4/13/2024,RG,chong_96,NS,d ,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,flying,q, , , ,  ,  ,,
4/15/2024,RG,bates_57b,NS,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,flying,  , , , ,  ,n,,
4/15/2024,RG,bates_57b,NS,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,flying,  , , , ,  ,n,,
4/15/2024,RG,bates_57b,NS,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,flying,  , , , ,  ,n,,
4/15/2024,RG,bates_57b,NS,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,flying,  , , , ,  ,n,,
4/15/2024,RG,bates_57b,NS,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,nest_searching,q, , , ,  ,n,,impatiens or vos
4/15/2024,RG,bates_57b,NS,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,nest_searching,q, , , ,  ,n,,impatiens or vos
4/15/2024,RG,bates_57b,NS,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,foraging,  ,vaco,vaccinium_corymbosum, ,  ,n,,impatiens or vos
