site_id,plot_id,visit_id,bare_avg_rod,bare_avg_bee,bare_avg_veg,bare_avg_floral,grass_h_avg_rod,grass_h_avg_bee,grass_h_avg_veg,grass_h_avg_floral,forb_h_avg_rod,forb_h_avg_bee,forb_h_avg_veg,forb_h_avg_floral,floral_num_rod,floral_num_bee,floral_num_veg,floral_num_floral,num_burrows_rod,num_burrows_bee,num_burrows_veg,num_burrows_floral,num_inactive_burrows_rod,num_inactive_burrows_bee,num_inactive_burrows_veg,num_inactive_burrows_floral,nest_searching_queens_rod,nest_searching_queens_bee,nest_searching_queens_veg,nest_searching_queens_floral,workers_rod,workers_bee,workers_veg,workers_floral,forage_vaco_rod,forage_vaco_bee,forage_vaco_veg,forage_vaco_floral
bates_57b,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_96,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_96,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_96,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_96,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwb_neaves,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwb_neaves,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_neaves,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_neaves,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avtar_168,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avtar_168,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surjit_168,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surjit_168,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandhu_ladnertrunk,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandhu_ladnertrunk,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lbf_ladnertrunk,p1,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lbf_ladnertrunk,p2,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_96,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_96,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwb_neaves,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_neaves,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avtar_168,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surjit_168,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandhu_ladnertrunk,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lbf_ladnertrunk,d,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p1,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p2,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p1,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p2,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,d,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,d,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p1,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p2,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,d,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p1,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p2,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,d,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p1,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,p2,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bates_57b,d,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p1,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p2,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p1,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p2,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,d,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,d,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p1,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p2,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,d,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p1,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p2,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,d,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p1,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,p2,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_56,d,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p1,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p2,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p1,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p2,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,d,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,d,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p1,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p2,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,d,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p1,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p2,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,d,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p1,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,p2,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_68,d,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p1,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p2,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p1,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p2,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,d,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,d,2024_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p1,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p2,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,d,2025_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p1,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p2,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,d,2025_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p1,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,p2,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bks_68,d,2025_visit3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_96,p1,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_96,p2,2024_visit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_96,p1,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_96,p2,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chong_96,d,2024_visit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
