date,observers,site_id,round,plot_id,transect_id,transect_section,sample_code,behaviour,caste,flower_code,flower_species,bee_code,bee_species,caught,photo_series,notes
2024-04-13,RG,chong_96,2024_r1,p1,full-plot,net-floral,chong_96_NS_p1_full-plot_net-floral,flying,q,,,,,n,,could not ID
2024-04-13,RG,chong_96,2024_r1,p2,full-plot,net-floral,chong_96_NS_p2_full-plot_net-floral,flying,q,,,,,n,,could not ID
2024-04-13,RG,chong_96,2024_r1,d,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,flying,q,,,boim,bombus_impatiens,y,,
2024-04-13,RG,chong_96,2024_r1,d,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,nest_searching,q,,,bovo,bombus_vosnesenskii,n,,
2024-04-13,RG,chong_96,2024_r1,d,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,flying,q,,,boim,bombus_impatiens,  ,,
2024-04-13,RG,chong_96,2024_r1,d,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,flying,q,,,boim,bombus_impatiens,  ,,
2024-04-13,RG,chong_96,2024_r1,d,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,nest_searching,q,,,boim,bombus_impatiens,  ,,
2024-04-13,RG,chong_96,2024_r1,d,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,nest_searching,q,,,boim,bombus_impatiens,  ,,
2024-04-13,RG,chong_96,2024_r1,d,full-plot,net-floral,chong_96_NS_d _full-plot_net-floral,flying,q,,,,,  ,,
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,flying,,,,,,n,,
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,flying,,,,,,n,,
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,flying,,,,,,n,,
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,flying,,,,,,n,,
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,nest_searching,q,,,,,n,,impatiens or vos
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,nest_searching,q,,,,,n,,impatiens or vos
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,foraging,,vaco,vaccinium_corymbosum,,,n,,impatiens or vos
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,foraging,,taof,taraxacum_officinale,,,y,April 15 Bee 1,w? impatiens?
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,foraging,w,taof,taraxacum_officinale,boim,bombus_impatiens,y,April 15 Bee 2,
2024-04-15,RG,bates_57b,2024_r1,p1,full-plot,net-floral,bates_57b_NS_p1_full-plot_net-floral,nest_searching,q,,,bovo,bombus_vosnesenskii,y,April 15 Bee 3,
2024-04-15,RG,bates_57b,2024_r1,p2,full-plot,net-floral,bates_57b_NS_p2_full-plot_net-floral,flying,,,,,,n,,
2024-04-15,RG,bates_57b,2024_r1,p2,full-plot,net-floral,bates_57b_NS_p2_full-plot_net-floral,flying,,,,,,n,,
2024-04-15,RG,bates_57b,2024_r1,p2,full-plot,net-floral,bates_57b_NS_p2_full-plot_net-floral,foraging,,vaco,vaccinium_corymbosum,bovo,bombus_vosnesenskii,n,,q? big
2024-04-15,RG,bates_57b,2024_r1,p2,full-plot,net-floral,bates_57b_NS_p2_full-plot_net-floral,foraging,,vaco,vaccinium_corymbosum,boim,bombus_impatiens,y,April 15 Bee 4 ,q?
2024-04-15,RG,bates_57b,2024_r1,p2,full-plot,net-floral,bates_57b_NS_p2_full-plot_net-floral,flying,,,,,,y,,
2024-04-18,RG,bks_68,2024_r1,p1,full-plot,net-floral,bks_68_NS_p1_full-plot_net-floral,nest_searching,q,,,,,  ,,red on butt
2024-04-18,RG,bks_68,2024_r1,p1,full-plot,net-floral,bks_68_NS_p1_full-plot_net-floral,flying,,,,boim,bombus_impatiens,  ,,
