date,area,site_id,plot_id,round,plot_type,julianDate
2024-04-13,delta_2,chong_96,p1,2024_r1,field,19826
2024-04-13,delta_2,chong_96,p2,2024_r1,field,19826
2024-04-15,delta_3,bates_57b,p1,2024_r1,field,19828
2024-04-15,delta_3,bates_57b,p2,2024_r1,field,19828
2024-04-18,delta_1,bks_68,p1,2024_r1,field,19831
2024-04-18,delta_1,bks_68,p2,2024_r1,field,19831
2024-04-18,delta_1,bks_68,d,2024_r1,ditch,19831
2024-04-18,delta_2,bks_96,p1,2024_r1,field,19831
2024-04-18,delta_2,bks_96,p2,2024_r1,field,19831
2024-04-18,delta_2,bks_96,d,2024_r1,ditch,19831
2024-04-18,delta_2,chong_96,d,2024_r1,ditch,19831
2024-04-19,delta_3,bates_57b,d,2024_r1,ditch,19832
2024-04-19,delta_3,bks_56,p1,2024_r1,field,19832
2024-04-19,delta_3,bks_56,p2,2024_r1,field,19832
2024-04-19,delta_3,bks_56,d,2024_r1,ditch,19832
2024-04-21,delta_1,chong_68,p1,2024_r1,field,19834
2024-04-21,delta_1,chong_68,p2,2024_r1,field,19834
2024-04-21,delta_1,chong_68,d,2024_r1,ditch,19834
2024-04-26,surrey,avtar_168,p1,2024_r1,field,19839
2024-04-26,surrey,avtar_168,p2,2024_r1,field,19839
2024-04-26,surrey,avtar_168,d,2024_r1,ditch,19839
2024-04-26,surrey,surjit_168,p1,2024_r1,field,19839
2024-04-26,surrey,surjit_168,p2,2024_r1,field,19839
2024-04-26,surrey,surjit_168,d,2024_r1,ditch,19839
2024-04-30,pittmeadows,gwb_neaves,p1,2024_r1,field,19843
2024-04-30,pittmeadows,gwb_neaves,p2,2024_r1,field,19843
2024-04-30,pittmeadows,gwb_neaves,d,2024_r1,ditch,19843
2024-05-01,pittmeadows,bks_neaves,p1,2024_r1,field,19844
2024-05-01,pittmeadows,bks_neaves,p2,2024_r1,field,19844
2024-05-01,pittmeadows,bks_neaves,d,2024_r1,ditch,19844
2024-05-14,delta_1,bks_68,p1,2024_r2,field,19857
2024-05-14,delta_1,bks_68,p2,2024_r2,field,19857
2024-05-14,delta_1,bks_68,d,2024_r2,ditch,19857
2024-05-14,delta_1,chong_68,p1,2024_r2,field,19857
2024-05-14,delta_1,chong_68,p2,2024_r2,field,19857
2024-05-14,delta_1,chong_68,d,2024_r2,ditch,19857
2024-05-15,delta_2,bks_96,p1,2024_r2,field,19858
2024-05-15,delta_2,bks_96,p2,2024_r2,field,19858
2024-05-15,delta_2,bks_96,d,2024_r2,ditch,19858
2024-05-15,delta_2,chong_96,p1,2024_r2,field,19858
2024-05-15,delta_2,chong_96,p2,2024_r2,field,19858
2024-05-15,delta_2,chong_96,d,2024_r2,ditch,19858
2024-05-22,pittmeadows,bks_neaves,p1,2024_r2,field,19865
2024-05-22,pittmeadows,bks_neaves,p2,2024_r2,field,19865
2024-05-22,pittmeadows,bks_neaves,d,2024_r2,ditch,19865
2024-05-22,pittmeadows,gwb_neaves,p1,2024_r2,field,19865
2024-05-22,pittmeadows,gwb_neaves,p2,2024_r2,field,19865
2024-05-22,pittmeadows,gwb_neaves,d,2024_r2,ditch,19865
2024-05-23,surrey,avtar_168,p1,2024_r2,field,19866
2024-05-23,surrey,avtar_168,p2,2024_r2,field,19866
2024-05-23,surrey,avtar_168,d,2024_r2,ditch,19866
2024-05-24,surrey,surjit_168,p1,2024_r2,field,19867
2024-05-24,surrey,surjit_168,p2,2024_r2,field,19867
2024-05-24,surrey,surjit_168,d,2024_r2,ditch,19867
2024-06-05,delta_4,lbf_ladnertrunk,p1,2024_r2,field,19879
2024-06-05,delta_4,lbf_ladnertrunk,p2,2024_r2,field,19879
2024-06-05,delta_4,lbf_ladnertrunk,d,2024_r2,ditch,19879
2024-06-05,delta_4,sandhu_ladnertrunk,p1,2024_r2,field,19879
2024-06-05,delta_4,sandhu_ladnertrunk,p2,2024_r2,field,19879
2024-06-05,delta_4,sandhu_ladnertrunk,d,2024_r2,ditch,19879
2024-06-06,delta_3,bates_57b,p1,2024_r2,field,19880
2024-06-06,delta_3,bates_57b,p2,2024_r2,field,19880
2024-06-06,delta_3,bates_57b,d,2024_r2,ditch,19880
2024-06-06,delta_3,bks_56,p1,2024_r2,field,19880
2024-06-06,delta_3,bks_56,p2,2024_r2,field,19880
2024-06-06,delta_3,bks_56,d,2024_r2,ditch,19880
2024-06-18,delta_1,bks_68,p1,2024_r3,field,19892
2024-06-18,delta_1,bks_68,p2,2024_r3,field,19892
2024-06-18,delta_1,bks_68,d,2024_r3,ditch,19892
2024-06-18,delta_1,chong_68,p1,2024_r3,field,19892
2024-06-18,delta_1,chong_68,p2,2024_r3,field,19892
2024-06-18,delta_1,chong_68,d,2024_r3,ditch,19892
2024-06-19,delta_2,bks_96,p1,2024_r3,field,19893
2024-06-19,delta_2,bks_96,p2,2024_r3,field,19893
2024-06-19,delta_2,bks_96,d,2024_r3,ditch,19893
2024-06-19,delta_2,chong_96,p1,2024_r3,field,19893
2024-06-19,delta_2,chong_96,p2,2024_r3,field,19893
2024-06-19,delta_2,chong_96,d,2024_r3,ditch,19893
2024-06-20,pittmeadows,bks_neaves,p1,2024_r3,field,19894
2024-06-20,pittmeadows,bks_neaves,p2,2024_r3,field,19894
2024-06-20,pittmeadows,bks_neaves,d,2024_r3,ditch,19894
2024-06-20,pittmeadows,gwb_neaves,p1,2024_r3,field,19894
2024-06-20,pittmeadows,gwb_neaves,p2,2024_r3,field,19894
2024-06-20,pittmeadows,gwb_neaves,d,2024_r3,ditch,19894
2024-06-21,delta_3,bates_57b,p1,2024_r3,field,19895
2024-06-21,delta_3,bates_57b,p2,2024_r3,field,19895
2024-06-21,delta_3,bates_57b,d,2024_r3,ditch,19895
2024-06-21,delta_3,bks_56,p1,2024_r3,field,19895
2024-06-21,delta_3,bks_56,p2,2024_r3,field,19895
2024-06-21,delta_3,bks_56,d,2024_r3,ditch,19895
2024-07-02,delta_4,lbf_ladnertrunk,p1,2024_r3,field,19906
2024-07-02,delta_4,lbf_ladnertrunk,p2,2024_r3,field,19906
2024-07-02,delta_4,lbf_ladnertrunk,d,2024_r3,ditch,19906
2024-07-02,delta_4,sandhu_ladnertrunk,p1,2024_r3,field,19906
2024-07-02,delta_4,sandhu_ladnertrunk,p2,2024_r3,field,19906
2024-07-02,delta_4,sandhu_ladnertrunk,d,2024_r3,ditch,19906
2024-07-03,surrey,avtar_168,p1,2024_r3,field,19907
2024-07-03,surrey,avtar_168,p2,2024_r3,field,19907
2024-07-03,surrey,avtar_168,d,2024_r3,ditch,19907
2024-07-03,surrey,surjit_168,p1,2024_r3,field,19907
2024-07-03,surrey,surjit_168,p2,2024_r3,field,19907
2024-07-03,surrey,surjit_168,d,2024_r3,ditch,19907
2025-04-03,delta_4,lbf_ladnertrunk,p1,2025_r1,field,20181
2025-04-03,delta_4,lbf_ladnertrunk,p2,2025_r1,field,20181
2025-04-03,delta_4,lbf_ladnertrunk,d,2025_r1,ditch,20181
2025-04-03,delta_4,sandhu_ladnertrunk,p1,2025_r1,field,20181
2025-04-03,delta_4,sandhu_ladnertrunk,p2,2025_r1,field,20181
2025-04-03,delta_4,sandhu_ladnertrunk,d,2025_r1,ditch,20181
2025-04-04,delta_1,chong_68,p1,2025_r1,field,20182
2025-04-04,delta_1,chong_68,p2,2025_r1,field,20182
2025-04-04,delta_1,chong_68,d,2025_r1,ditch,20182
2025-04-04,delta_1,bks_68,p1,2025_r1,field,20182
2025-04-04,delta_1,bks_68,p2,2025_r1,field,20182
2025-04-04,delta_1,bks_68,d,2025_r1,ditch,20182
2025-04-11,delta_3,bks_56,p1,2025_r1,field,20189
2025-04-11,delta_3,bks_56,p2,2025_r1,field,20189
2025-04-11,delta_3,bks_56,d,2025_r1,ditch,20189
2025-04-11,delta_3,bates_57b,p1,2025_r1,field,20189
2025-04-11,delta_3,bates_57b,p2,2025_r1,field,20189
2025-04-11,delta_3,bates_57b,d,2025_r1,ditch,20189
2025-04-14,pittmeadows,bks_neaves,p1,2025_r1,field,20192
2025-04-14,pittmeadows,bks_neaves,p2,2025_r1,field,20192
2025-04-14,pittmeadows,bks_neaves,d,2025_r1,ditch,20192
2025-04-14,pittmeadows,gwb_neaves,p1,2025_r1,field,20192
2025-04-14,pittmeadows,gwb_neaves,p2,2025_r1,field,20192
2025-04-14,pittmeadows,gwb_neaves,d,2025_r1,ditch,20192
2025-04-18,surrey,avtar_168,p1,2025_r1,field,20196
2025-04-18,surrey,avtar_168,p2,2025_r1,field,20196
2025-04-18,surrey,avtar_168,d,2025_r1,ditch,20196
2025-04-18,surrey,surjit_168,p1,2025_r1,field,20196
2025-04-18,surrey,surjit_168,p2,2025_r1,field,20196
2025-04-18,surrey,surjit_168,d,2025_r1,ditch,20196
2025-04-19,delta_2,chong_96,p1,2025_r1,field,20197
2025-04-19,delta_2,chong_96,p2,2025_r1,field,20197
2025-04-19,delta_2,chong_96,d,2025_r1,ditch,20197
2025-04-19,delta_2,bks_96,p1,2025_r1,field,20197
2025-04-19,delta_2,bks_96,p2,2025_r1,field,20197
2025-04-19,delta_2,bks_96,d,2025_r1,ditch,20197
2025-04-27,delta_4,sandhu_ladnertrunk,p1,2025_r2,field,20205
2025-04-27,delta_4,sandhu_ladnertrunk,p2,2025_r2,field,20205
2025-04-27,delta_4,sandhu_ladnertrunk,d,2025_r2,ditch,20205
2025-04-27,delta_4,lbf_ladnertrunk,p1,2025_r2,field,20205
2025-04-27,delta_4,lbf_ladnertrunk,p2,2025_r2,field,20205
2025-04-27,delta_4,lbf_ladnertrunk,d,2025_r2,ditch,20205
2025-04-29,delta_1,chong_68,p1,2025_r2,field,20207
2025-04-29,delta_1,chong_68,p2,2025_r2,field,20207
2025-04-29,delta_1,chong_68,d,2025_r2,ditch,20207
2025-04-29,delta_1,bks_68,p1,2025_r2,field,20207
2025-04-29,delta_1,bks_68,p2,2025_r2,field,20207
2025-04-29,delta_1,bks_68,d,2025_r2,ditch,20207
2025-04-30,delta_3,bates_57b,p1,2025_r2,field,20208
2025-04-30,delta_3,bates_57b,p2,2025_r2,field,20208
2025-04-30,delta_3,bates_57b,d,2025_r2,ditch,20208
2025-04-30,delta_3,bks_56,p1,2025_r2,field,20208
2025-04-30,delta_3,bks_56,p2,2025_r2,field,20208
2025-04-30,delta_3,bks_56,d,2025_r2,ditch,20208
2025-05-01,delta_2,bks_96,p1,2025_r2,field,20209
2025-05-01,delta_2,bks_96,p2,2025_r2,field,20209
2025-05-01,delta_2,bks_96,d,2025_r2,ditch,20209
2025-05-01,delta_2,chong_96,p1,2025_r2,field,20209
2025-05-01,delta_2,chong_96,p2,2025_r2,field,20209
2025-05-01,delta_2,chong_96,d,2025_r2,ditch,20209
2025-05-06,pittmeadows,gwb_neaves,p1,2025_r2,field,20214
2025-05-06,pittmeadows,gwb_neaves,p2,2025_r2,field,20214
2025-05-06,pittmeadows,gwb_neaves,d,2025_r2,ditch,20214
2025-05-06,pittmeadows,bks_neaves,p1,2025_r2,field,20214
2025-05-06,pittmeadows,bks_neaves,p2,2025_r2,field,20214
2025-05-06,pittmeadows,bks_neaves,d,2025_r2,ditch,20214
2025-05-13,surrey,surjit_168,p1,2025_r2,field,20221
2025-05-13,surrey,surjit_168,p2,2025_r2,field,20221
2025-05-13,surrey,surjit_168,d,2025_r2,ditch,20221
2025-05-13,surrey,avtar_168,p1,2025_r2,field,20221
2025-05-13,surrey,avtar_168,p2,2025_r2,field,20221
2025-05-13,surrey,avtar_168,d,2025_r2,ditch,20221
2025-06-18,delta_3,bates_57b,p1,2025_r3,field,20257
2025-06-18,delta_3,bates_57b,p2,2025_r3,field,20257
2025-06-18,delta_3,bates_57b,d,2025_r3,ditch,20257
2025-06-18,delta_3,bks_56,p1,2025_r3,field,20257
2025-06-18,delta_3,bks_56,p2,2025_r3,field,20257
2025-06-18,delta_3,bks_56,d,2025_r3,ditch,20257
2025-06-23,delta_4,lbf_ladnertrunk,p1,2025_r3,field,20262
2025-06-23,delta_4,lbf_ladnertrunk,p2,2025_r3,field,20262
2025-06-23,delta_4,lbf_ladnertrunk,d,2025_r3,ditch,20262
2025-06-23,delta_4,sandhu_ladnertrunk,p1,2025_r3,field,20262
2025-06-23,delta_4,sandhu_ladnertrunk,p2,2025_r3,field,20262
2025-06-23,delta_4,sandhu_ladnertrunk,d,2025_r3,ditch,20262
2025-06-24,pittmeadows,bks_neaves,p1,2025_r3,field,20263
2025-06-24,pittmeadows,bks_neaves,p2,2025_r3,field,20263
2025-06-24,pittmeadows,bks_neaves,d,2025_r3,ditch,20263
