date,observers,site_id,round,plot_id,transect_id,transect_section,sample_code,survey_start,survey_end,temp_start,wind_sp_start,cloud_start,temp_end,wind_sp_end,cloud_end,notes
14-May-24,RG,chong_68,1,p2,full-plot,net-floral,chong_68_1_p2_full-plot_net-floral,10:42,11:05,17,2.1,scattered,18,1.5,partly_cloudy,
14-May-24,RG,chong_68,1,p1,full-plot,net-floral,chong_68_1_p1_full-plot_net-floral,11:30,11:46, , , ,18,2.1,hazy,
14-May-24,RG,chong_68,1,d,full-plot,net-floral,chong_68_1_d_full-plot_net-floral,12:00,12:40, , , ,18,1.8,hazy,
14-May-24,RG,bks_68,1,p1,full-plot,net-floral,bks_68_1_p1_full-plot_net-floral,14:02,14:29,19,1,hazy, , , ,
14-May-24,RG,bks_68,1,d,full-plot,net-floral,bks_68_1_d_full-plot_net-floral,14:40,15:00,19,1.4,hazy, , , ,
14-May-24,RG,bks_68,1,p2,full-plot,net-floral,bks_68_1_p2_full-plot_net-floral,16:12,16:35,20,1.1,hazy,21,1.6,hazy,
18-Jun-24,"RG, AD, NC",chong_68,2,p1,full-plot,net-floral,chong_68_2_p1_full-plot_net-floral,12:36,12:55,20,0.9, ,21,0.6, ,
18-Jun-24,"RG, AD, NC",chong_68,2,p2,full-plot,net-floral,chong_68_2_p2_full-plot_net-floral,12:36,12:55,20,0.9, ,21,0.6, ,
18-Jun-24,"RG, AD, NC",chong_68,2,d,full-plot,net-floral,chong_68_2_d_full-plot_net-floral,12:36,12:55,20,0.9, ,21,0.6, ,
18-Jun-24,"RG, AD, NC",bks_68,2,d,full-plot,net-floral,bks_68_2_d_full-plot_net-floral,11:00,11:15,18,1.1, , , , ,
18-Jun-24,"RG, AD, NC",bks_68,2,p1,full-plot,net-floral,bks_68_2_p1_full-plot_net-floral,11:26,11:40,17,1.2, ,18,2.2, ,
18-Jun-24,"RG, AD, NC",bks_68,2,p2,full-plot,net-floral,bks_68_2_p2_full-plot_net-floral,11:26,11:40,17,1.2, ,18,2.2, ,
15-May-24,RG,chong_96,1,p2,full-plot,net-floral,chong_96_1_p2_full-plot_net-floral,14:05,14:25,22,2,scattered, , , ,
15-May-24,RG,chong_96,1,p1,full-plot,net-floral,chong_96_1_p1_full-plot_net-floral,14:40,15:06,24,1.2,scattered, , , ,
15-May-24,RG,chong_96,1,d,full-plot,net-floral,chong_96_1_d_full-plot_net-floral,15:15,15:35,24,1.8,scattered,22,1.2,scattered,
15-May-24,RG,bks_96,1,p2,full-plot,net-floral,bks_96_1_p2_full-plot_net-floral,10:08,10:27,18,1.8,hazy, , , ,
15-May-24,RG,bks_96,1,p1,full-plot,net-floral,bks_96_1_p1_full-plot_net-floral,10:35,10:55,20,1.4,scattered, , , ,
15-May-24,RG,bks_96,1,d,full-plot,net-floral,bks_96_1_d_full-plot_net-floral,11:20,12:10,19,1.4,scattered,22,2.1,scattered,did floral abundance survey in middle on d bombus survey
26-Apr-24,"RG, CN",avtar_168,NS,d,full-plot,net-floral,avtar_168_NS_d_full-plot_net-floral,16:22, ,15,1.2,partly_cloudy, , , ,
26-Apr-24,"RG, CN",avtar_168,NS,p1,full-plot,net-floral,avtar_168_NS_p1_full-plot_net-floral,16:22, ,15,1.2,partly_cloudy, , , ,
26-Apr-24,"RG, CN",avtar_168,NS,p2,full-plot,net-floral,avtar_168_NS_p2_full-plot_net-floral,17:14, ,17,0.5,partly_cloudy, , , ,
26-Apr-24,RG,surjit_168,NS,p2,full-plot,net-floral,surjit_168_NS_p2_full-plot_net-floral,15:05,15:23,13,0.8,overcast,14,0.4,overcast,"rained this morning, very lightly spitting still, rows flooded"
26-Apr-24,CN,surjit_168,NS,d,full-plot,net-floral,surjit_168_NS_d_full-plot_net-floral,15:38,16:00, , , ,14,0.8,overcast,sun showing through in parts
26-Apr-24,RG,surjit_168,NS,p1,full-plot,net-floral,surjit_168_NS_p1_full-plot_net-floral,15:38,16:00, , , ,14,0.8,overcast,sun showing through in parts
22-May-24,RG,gwb_neaves,1,p2,full-plot,net-floral,gwb_neaves_1_p2_full-plot_net-floral,11:24,11:50,17,0.6,overcast, , , ,
22-May-24,RG,gwb_neaves,1,p1,full-plot,net-floral,gwb_neaves_1_p1_full-plot_net-floral,12:00,12:18,16,0.9,overcast, , , ,
22-May-24,RG,gwb_neaves,1,d,full-plot,net-floral,gwb_neaves_1_d_full-plot_net-floral,12:30,13:20,15,1.5,overcast, , , ,did floral survey throughout
22-May-24,RG,bks_neaves,1,p1,full-plot,net-floral,bks_neaves_1_p1_full-plot_net-floral,14:54,15:20,22,0,partly_cloudy, , , ,
22-May-24,RG,bks_neaves,1,p2,full-plot,net-floral,bks_neaves_1_p2_full-plot_net-floral,15:35,16:00,21,0.6,partly_cloudy, , , ,
22-May-24,RG,bks_neaves,1,d,full-plot,net-floral,bks_neaves_1_d_full-plot_net-floral,16:15, ,16,1,partly_cloudy, , , ,
05-Jun-24,AD,lbf_ladnertrunk,1,p1,full-plot,net-floral,lbf_ladnertrunk_1_p1_full-plot_net-floral,12:26,13:09,18,0.7,scattered,17,0.8,scattered,
05-Jun-24,RG,lbf_ladnertrunk,1,p2,full-plot,net-floral,lbf_ladnertrunk_1_p2_full-plot_net-floral,12:26,13:09,18,0.7,scattered,17,0.8,scattered,
05-Jun-24,NC,lbf_ladnertrunk,1,d,full-plot,net-floral,lbf_ladnertrunk_1_d_full-plot_net-floral,12:26,13:09,18,0.7,scattered,17,0.8,scattered,
05-Jun-24,NC,sandhu_ladnertrunk,1,d,full-plot,net-floral,sandhu_ladnertrunk_1_d_full-plot_net-floral,14:02,14:30,21,1.5,partly_cloudy,21,0.5,partly_cloudy,found 1 mixtus nest outside of plot (row #4) + 1 impatiens nest
