site_id,round,plot_id,bee_date,julian.date,bee_season_type,area,cover_type,bare_perc,grass_perc,forb_perc,grass_forb_perc,grass_h,forb_h,floral_perc,bombus_floral_perc,grass_forb_floral_perc,flood_perc,dry_root_perc,bryo_perc,bare_flood_dry_bryo_perc,bare_dry_bryo_perc,floral_richness,bombus_floral_richness,floral_abun,bombus_floral_abun,bombus_floral_abun_nv,nest_searching_queens,workers,forage_vaco,num_burrows,num_active_burrows,num_inactive_burrows,prop_inactive_burrows,num_active_dm,num_dm_size,prop_dm_size,num_inactive_dm
bates_57b,2024_r1,p1,2024-04-15,106,nestsearching,delta_1,grass,2,46.833333333333336,9.333333333333334,56.16666666666667,17.916666666666668,9.833333333333334,0.375,0.375,56.54166666666667,0,25.416666666666668,0,27.416666666666668,27.416666666666668,1,1,3,3,3,3,1,1,41,19,10,0.24390243902439024,5,3,0.07317073170731707,1
bates_57b,2024_r1,p2,2024-04-15,106,nestsearching,delta_1,grass,1.4166666666666667,52.25,7.916666666666667,60.166666666666664,19.5,7.416666666666667,1.0416666666666667,1.0416666666666667,61.20833333333333,0,37.166666666666664,0,38.58333333333333,38.58333333333333,1,1,3,3,3,0,0,2,120,36,64,0.5333333333333333,6,3,0.025,2
bates_57b,2024_r1,d,2024-04-15,106,nestsearching,delta_1,grass,0,90.41666666666667,8,98.41666666666667,28.75,9.583333333333334,0.125,0.08333333333333333,98.5,0,7.083333333333333,0,7.083333333333333,7.083333333333333,3,2,3,3,3,4,0,0,93,0,0,0,0,0,0,0
bates_57b,2024_r2,p1,2024-06-06,158,worker,delta_1,grass,11.916666666666666,52.666666666666664,16.75,69.41666666666666,25.333333333333332,26.166666666666668,0.041666666666666664,0.041666666666666664,69.45833333333333,0,16.25,0,28.166666666666664,28.166666666666664,2,2,2,2,0,2,0,2,41,19,10,0.24390243902439024,5,3,0.07317073170731707,1
bates_57b,2024_r2,p2,2024-06-06,158,worker,delta_1,grass,20.5,56.75,8.125,64.875,25.666666666666668,17.416666666666668,0,0,64.875,0,5.416666666666667,0,25.916666666666668,25.916666666666668,3,3,2,2,0,0,1,4,120,36,64,0.5333333333333333,6,3,0.025,2
bates_57b,2024_r2,d,2024-06-06,158,worker,delta_1,grass,7.666666666666667,81.75,10.583333333333334,92.33333333333333,104.08333333333333,52.916666666666664,87.58333333333333,87.54166666666667,179.875,0,0,0,7.666666666666667,7.666666666666667,14,11,4,3,3,0,2,0,93,0,0,0,0,0,0,0
bates_57b,2024_r3,p1,2024-06-21,173,worker,delta_1,grass,6.25,24.583333333333332,9,33.58333333333333,11.416666666666666,11.666666666666666,0,0,33.58333333333333,0,14.333333333333334,0,20.583333333333336,20.583333333333336,2,2,1,1,1,0,0,0,41,19,10,0.24390243902439024,5,3,0.07317073170731707,1
bates_57b,2024_r3,p2,2024-06-21,173,worker,delta_1,grass,10,33.333333333333336,5.583333333333333,38.91666666666667,15,11.916666666666666,0,0,38.91666666666667,0,11.166666666666666,0,21.166666666666664,21.166666666666664,2,2,0,0,0,0,0,0,120,36,64,0.5333333333333333,6,3,0.025,2
bates_57b,2024_r3,d,2024-06-21,173,worker,delta_1,grass,4.166666666666667,70.41666666666667,19.583333333333332,90,103.25,45.166666666666664,5.375,4.791666666666667,94.79166666666667,0,0,0,4.166666666666667,4.166666666666667,12,10,4,4,4,0,0,0,93,0,0,0,0,0,0,0
bates_57b,2025_r1,p1,2025-04-11,101,nestsearching,delta_1,grass,1.6666666666666667,56.5,7.083333333333333,63.583333333333336,19.5,11.583333333333334,1.625,1.625,65.20833333333334,0,15.833333333333334,0,17.5,17.5,2,2,3,3,3,0,0,3,41,19,10,0.24390243902439024,5,3,0.07317073170731707,1
bates_57b,2025_r1,p2,2025-04-11,101,nestsearching,delta_1,grass,2.5,57.416666666666664,4.083333333333333,61.5,23.416666666666668,7.083333333333333,1.75,1.75,63.25,0,21,0,23.5,23.5,0,0,0,0,0,0,0,0,120,36,64,0.5333333333333333,6,3,0.025,2
bates_57b,2025_r1,d,2025-04-11,101,nestsearching,delta_1,grass,0.5,73,9.791666666666666,82.79166666666667,45.166666666666664,23.916666666666668,0.5416666666666666,0.5416666666666666,83.33333333333334,0,16.75,0,17.25,17.25,0,0,0,0,0,5,0,0,93,0,0,0,0,0,0,0
bates_57b,2025_r2,p1,2025-04-30,120,nestsearching,delta_1,grass,11.25,59.083333333333336,7,66.08333333333334,20.333333333333332,16.416666666666668,8.541666666666666,8.541666666666666,74.62500000000001,0,0.8333333333333334,0,12.083333333333334,12.083333333333334,2,2,4,4,2,1,0,1,41,19,10,0.24390243902439024,5,3,0.07317073170731707,1
bates_57b,2025_r2,p2,2025-04-30,120,nestsearching,delta_1,grass,6.25,62.083333333333336,3.3333333333333335,65.41666666666667,23.333333333333332,5.583333333333333,13.416666666666666,13.416666666666666,78.83333333333334,0,6.666666666666667,0,12.916666666666668,12.916666666666668,2,2,4,4,2,0,0,3,120,36,64,0.5333333333333333,6,3,0.025,2
