"","insect_species","plant_sp","totalBees"
"1","Bombus appositus","Vicia villosa",8
"2","Bombus californicus","Trifolium pratense",1
"3","Bombus centralis","Phacelia hastata",16
"4","Bombus centralis","Phacelia linearis",2
"5","Bombus centralis","Polygonum majus",1
"6","Bombus centralis","Potentilla recta",9
"7","Bombus centralis","Vicia villosa",41
"8","Bombus fervidus","Phacelia tanacetifolia",2
"9","Bombus fervidus","Raphanus raphanistrum",2
"10","Bombus fervidus","Spiraea douglasii",2
"11","Bombus fervidus","Trifolium alexandrinum",2
"12","Bombus fervidus","Trifolium hybridum",3
"13","Bombus fervidus","Trifolium pratense",19
"14","Bombus fervidus","Vicia cracca",19
"15","Bombus fervidus","Vicia sativa",1
"16","Bombus fervidus","Vicia villosa",9
"17","Bombus flavifrons","Calystegia silvatica",2
"18","Bombus flavifrons","Fumaria muralis",2
"19","Bombus flavifrons","Geranium dissectum",1
"20","Bombus flavifrons","Persicaria lapathifolia",1
"21","Bombus flavifrons","Phacelia tanacetifolia",1
"22","Bombus flavifrons","Raphanus raphanistrum",3
"23","Bombus flavifrons","Rosa nutkana",2
"24","Bombus flavifrons","Rosa sp",1
"25","Bombus flavifrons","Rubus armeniacus",46
"26","Bombus flavifrons","Rubus parviflorus",6
"27","Bombus flavifrons","Trifolium alexandrinum",1
"28","Bombus flavifrons","Trifolium hybridum",1
"29","Bombus flavifrons","Trifolium pratense",19
"30","Bombus flavifrons","Trifolium repens",2
"31","Bombus flavifrons","Tripleurospermum inodorum",1
"32","Bombus flavifrons","Vicia cracca",24
"33","Bombus flavifrons","Vicia gigantea",7
"34","Bombus flavifrons","Vicia sativa",2
"35","Bombus huntii","Achillea millefolium",6
"36","Bombus huntii","Potentilla recta",37
"37","Bombus huntii","Rosa nutkana",5
"38","Bombus huntii","Sisymbrium altissimum",1
"39","Bombus huntii","Vicia villosa",66
"40","Bombus impatiens","Brassica carinata",2
"41","Bombus impatiens","Calystegia silvatica",3
"42","Bombus impatiens","Calystegia sp",1
"43","Bombus impatiens","Cichorium intybus",1
"44","Bombus impatiens","Cirsium arvense",6
"45","Bombus impatiens","Crataegus monogyna",2
"46","Bombus impatiens","Crepis capillaris",3
"47","Bombus impatiens","Epilobium ciliatum",8
"48","Bombus impatiens","Fallopia convolvulus",1
"49","Bombus impatiens","Helianthus annuus",3
"50","Bombus impatiens","Hypochaeris radicata",1
"51","Bombus impatiens","Persicaria lapathifolia",4
"52","Bombus impatiens","Phacelia tanacetifolia",21
"53","Bombus impatiens","Prunus sp",6
"54","Bombus impatiens","Ranunculus acris",1
"55","Bombus impatiens","Ranunculus repens",3
"56","Bombus impatiens","Raphanus raphanistrum",8
"57","Bombus impatiens","Rorippa sylvestris",3
"58","Bombus impatiens","Rosa nutkana",23
"59","Bombus impatiens","Rosa sp",1
"60","Bombus impatiens","Rubus armeniacus",49
"61","Bombus impatiens","Rubus laciniatus",2
"62","Bombus impatiens","Solanum dulcamara",2
"63","Bombus impatiens","Sonchus arvensis",4
"64","Bombus impatiens","Spiraea douglasii",3
"65","Bombus impatiens","Tanacetum vulgare",18
"66","Bombus impatiens","Trifolium alexandrinum",1
"67","Bombus impatiens","Trifolium hybridum",4
"68","Bombus impatiens","Trifolium pratense",139
"69","Bombus impatiens","Trifolium repens",16
"70","Bombus impatiens","Tripleurospermum inodorum",5
"71","Bombus impatiens","Vicia cracca",23
"72","Bombus impatiens","Vicia tetrasperma",1
"73","Bombus insularis","Rubus armeniacus",1
"74","Bombus insularis","Trifolium repens",1
"75","Bombus melanopygus","Phacelia tanacetifolia",1
"76","Bombus melanopygus","Raphanus raphanistrum",1
"77","Bombus melanopygus","Trifolium alexandrinum",1
"78","Bombus mixtus","Achillea millefolium",1
"79","Bombus mixtus","Brassica carinata",4
"80","Bombus mixtus","Calystegia silvatica",1
"81","Bombus mixtus","Calystegia sp",3
"82","Bombus mixtus","Capsella bursa-pastoris",1
"83","Bombus mixtus","Cirsium arvense",6
"84","Bombus mixtus","Crataegus monogyna",2
