"","V1","V2","V3","V4"
"1","Acer pseudoplatanus","Sycamore maple","ACPS",""
"2","Achillea millefolium","Yarrow","ACMI",""
"4","Aesculus hippocastanum","Horsechestnut","AEHI",""
"16","Anthemis cotula","Stinking Mayweed","ANCO",""
"19","Antirrhinum majus","Snap Dragon","ANMA",""
"21","Aqualegia vulgaris","Common Columbine","AQVU",""
"27","Asparagus officinalis","Garden Asparagus","ASOF",""
"30","Baptisia australis","Blue Wild Indigo","BAAU",""
"32","Bistorta amplexicaulis","Red Bistort","BIAM",""
"33","Bidens amplissima","Vancouver Island Beggarticks","BIAMP",""
"34","Bidens frondosa","Devil's Beggarticks","BIFR",""
"36","Borago officinalis","Borage","BOOF",""
"37","Brassicaceae","mustard","Brassicaceae",""
"41","Brassica rapa","Field mustard","BRRA",""
"42","Capsella bursa-pastoris","Shepherd's Purse","CABU",""
"49","Campanula poscharskyana","Trailing Bellflower","CAPO",""
"51","Calystegia silvatica","Giant Bindweed","CASI",""
"54","Centaurea cyanus","Bachelor's Buttons","CECY",""
"55","Centaurea diffusa","Diffuse Knapweed","CEDI",""
"56","Cerastium fontanum","Mouse-Ear Chickweed","CEFO",""
"60","Ceanothus thyrsiflorus","Blueblossom","CETH",""
"62","Chamaenerion angustifolium","Fireweed","CHAN",""
"63","Cirsium arvense","Creeping Thistle","CIAR",""
"65","Cirsium vulgare","Spear Thistle","CIVU",""
"71","Convolvulus arvensis","Field Bindweed","COAR",""
"79","Cornus sericea","Red Osier Dogwood","COSE",""
"80","Coreopsis tinctoria","Plains Coreopsis","COTI",""
"82","Convolvulus vulgaris?","Common Bindweed","COVU",""
"85","Crepis capillaris","Smooth Hawksbeard","CRCA",""
"90","Crataegus monogyna","Common Hawthorn","CRMO",""
"93","Cyanus montanus","Perennial Cornflower","CYMO",""
"94","Cytisus scoparius","Scotch Broom","CYSC",""
"95","Cyanus segetum","Bachelor's Buttons","CYSE",""
"96","Daucus carota","Wild Carrot","DACA",""
"97","Dahlia pinnata","Garden Dahlia","DAPI",""
"101","Dicentra formosa","Pacific Bleeding Heart","DIFO",""
