site,plot,date,time,video_id,species_common,species_scientific,num_ind,bait_interaction,hole_interaction,nice,notes
lbf_ladnertrunk,d,19-Aug-25,23:03:57,8190001,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,d,20-Aug-25,23:54:00,8190002,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,d,20-Aug-25,23:55:30,8190003,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,18-Aug-25,20:35:06,8180001,rabbit,Oryctolagus_cuniculus,1,n,n,,rabbit running in background
lbf_ladnertrunk,p1,18-Aug-25,20:36:21,8180002,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,19-Aug-25,0:14:39,8190003,coyote,Canis_latrans,1,n,n,,
lbf_ladnertrunk,p1,19-Aug-25,0:16:11,8190004,coyote,Canis_latrans,1,n,n,,
lbf_ladnertrunk,p1,19-Aug-25,0:26:35,8190005,coyote,Canis_latrans,1,y,n,,
lbf_ladnertrunk,p1,19-Aug-25,5:53:29,8190006,coyote,Canis_latrans,1,y,n,coyote pees on bait! maybe marking territory?,
lbf_ladnertrunk,p1,20-Aug-25,1:50:37,8200007,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,1:51:50,8200008,rabbit,Oryctolagus_cuniculus,1,n,n,,
lbf_ladnertrunk,p1,20-Aug-25,1:56:42,8200009,rabbit,Oryctolagus_cuniculus,1,n,n,,
lbf_ladnertrunk,p1,20-Aug-25,1:58:01,8200010,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,1:59:16,8200011,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,2:02:21,8200012,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,2:58:49,8200013,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,3:00:08,8200014,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,3:01:23,8200015,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,3:02:38,8200016,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,3:03:54,8200017,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,20:43:31,8200018,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,20:44:47,8200019,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,20:46:03,8200020,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,20:47:18,8200021,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,20-Aug-25,22:11:17,8200022,rabbit,Oryctolagus_cuniculus,1,n,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:31:56,8210023,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:33:20,8210024,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:34:52,8210025,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:36:05,8210026,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:37:20,8210027,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:38:43,8210028,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:40:02,8210029,rabbit,Oryctolagus_cuniculus,1,y,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:41:16,8210030,rabbit,Oryctolagus_cuniculus,1,n,n,,
lbf_ladnertrunk,p1,21-Aug-25,1:42:48,8210031,rabbit,Oryctolagus_cuniculus,1,n,n,,
lbf_ladnertrunk,p1,21-Aug-25,3:26:14,8210032,rabbit,Oryctolagus_cuniculus,1,y,n,,
