date,area,site_id,plot_id,round,plot_type,julianDate
2024-04-01,pittmeadows,bks_neaves,p1,2024_r1,field,19814
2024-04-01,pittmeadows,bks_neaves,p2,2024_r1,field,19814
2024-04-01,pittmeadows,gwb_neaves,p1,2024_r1,field,19814
2024-04-01,pittmeadows,gwb_neaves,p2,2024_r1,field,19814
2024-04-16,delta_3,bates_57b,p1,2024_r1,field,19829
2024-04-16,delta_3,bates_57b,p2,2024_r1,field,19829
2024-04-17,pittmeadows,gwb_neaves,d,2024_r1,ditch,19830
2024-04-24,surrey,surjit_168,p1,2024_r1,field,19837
2024-04-24,surrey,surjit_168,p2,2024_r1,field,19837
2024-04-26,surrey,avtar_168,d,2024_r1,ditch,19839
2024-04-26,surrey,surjit_168,d,2024_r1,ditch,19839
2024-05-01,pittmeadows,bks_neaves,d,2024_r1,ditch,19844
2024-05-03,delta_1,bks_68,p1,2024_r1,field,19846
2024-05-03,delta_1,bks_68,p2,2024_r1,field,19846
2024-05-03,delta_1,bks_68,d,2024_r1,ditch,19846
2024-05-03,delta_1,chong_68,p1,2024_r1,field,19846
2024-05-03,delta_1,chong_68,p2,2024_r1,field,19846
2024-05-03,delta_1,chong_68,d,2024_r1,ditch,19846
2024-05-06,delta_2,bks_96,p1,2024_r1,field,19849
2024-05-06,delta_2,bks_96,p2,2024_r1,field,19849
2024-05-06,delta_2,bks_96,d,2024_r1,ditch,19849
2024-05-06,delta_2,chong_96,p1,2024_r1,field,19849
2024-05-06,delta_2,chong_96,p2,2024_r1,field,19849
2024-05-06,delta_2,chong_96,d,2024_r1,ditch,19849
2024-05-06,delta_3,bates_57b,d,2024_r1,ditch,19849
2024-05-06,delta_3,bks_56,p1,2024_r1,field,19849
2024-05-06,delta_3,bks_56,p2,2024_r1,field,19849
2024-05-06,delta_3,bks_56,d,2024_r1,ditch,19849
2024-05-23,surrey,avtar_168,p1,2024_r1,field,19866
2024-05-23,surrey,avtar_168,p2,2024_r1,field,19866
2024-06-07,delta_4,lbf_ladnertrunk,p1,2024_r1,field,19881
2024-06-07,delta_4,lbf_ladnertrunk,p2,2024_r1,field,19881
2024-06-07,delta_4,lbf_ladnertrunk,d,2024_r1,ditch,19881
2024-06-07,delta_4,sandhu_ladnertrunk,p1,2024_r1,field,19881
2024-06-07,delta_4,sandhu_ladnertrunk,p2,2024_r1,field,19881
2024-06-07,delta_4,sandhu_ladnertrunk,d,2024_r1,ditch,19881
