date,area,site_id,plot_id,round,plot_type,julianDate
2024-07-09,delta_1,bks_68,p1,2024_r2,field,19913
2024-07-09,delta_1,bks_68,p2,2024_r2,field,19913
2024-07-09,delta_1,chong_68,p1,2024_r2,field,19913
2024-07-09,delta_1,chong_68,p2,2024_r2,field,19913
2024-07-10,delta_2,bks_96,p1,2024_r2,field,19914
2024-07-10,delta_2,bks_96,p2,2024_r2,field,19914
2024-07-10,delta_2,chong_96,p1,2024_r2,field,19914
2024-07-10,delta_2,chong_96,p2,2024_r2,field,19914
2024-07-23,delta_3,bates_57b,p1,2024_r2,field,19927
2024-07-23,delta_3,bates_57b,p2,2024_r2,field,19927
2024-07-24,delta_4,lbf_ladnertrunk,p1,2024_r2,field,19928
2024-07-24,delta_4,lbf_ladnertrunk,p2,2024_r2,field,19928
2024-08-06,surrey,surjit_168,p1,2024_r2,field,19941
2024-08-06,surrey,surjit_168,p2,2024_r2,field,19941
2024-08-06,surrey,avtar_168,p1,2024_r2,field,19941
2024-08-06,surrey,avtar_168,p2,2024_r2,field,19941
2024-08-07,delta_3,bks_56,p1,2024_r2,field,19942
2024-08-07,delta_3,bks_56,p2,2024_r2,field,19942
2024-08-12,delta_4,sandhu_ladnertrunk,p1,2024_r2,field,19947
2024-08-12,delta_4,sandhu_ladnertrunk,p2,2024_r2,field,19947
2024-10-01,pittmeadows,bks_neaves,p1,2024_r2,field,19997
2024-10-01,pittmeadows,bks_neaves,p2,2024_r2,field,19997
2024-10-01,pittmeadows,gwb_neaves,p1,2024_r2,field,19997
2024-10-01,pittmeadows,gwb_neaves,p2,2024_r2,field,19997
