date_day,observers_day,date_night,observers_night,site_id,round,plot_id,transect_id,transect_section,burrow_code,location_m,location_side,row_alley,diameter_cm,species_guess,substrate,notes_hole,powder_active_field,powder_species_guess_field,notes_powder,photo_number,photo_location,powder_active_FI  L,powder_species_guess_FI  L,notes_extra_FI  L
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s1,gwb_neaves__d_t2_rod-s1,0,  ,  ,2.5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d ,t2,rod-s1,gwb_neaves__d _t2_rod-s1,0.2,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s1,gwb_neaves__d_t2_rod-s1,0.4,  ,  ,2.5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s1,gwb_neaves__d_t2_rod-s1,0.5,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d ,t2,rod-s1,gwb_neaves__d _t2_rod-s1,5,  ,  ,2.5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s1,gwb_neaves__d_t2_rod-s1,7.5,  ,  ,2.5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s1,gwb_neaves__d_t2_rod-s1,6,  ,  ,2.5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d ,t2,rod-s1,gwb_neaves__d _t2_rod-s1,5,  ,  ,2.5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s2,gwb_neaves__d_t2_rod-s2,20,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s2,gwb_neaves__d_t2_rod-s2,20.5,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d ,t2,rod-s2,gwb_neaves__d _t2_rod-s2,20.5,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s2,gwb_neaves__d_t2_rod-s2,22,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s4,gwb_neaves__d_t2_rod-s4,62,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d ,t2,rod-s4,gwb_neaves__d _t2_rod-s4,70,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s5,gwb_neaves__d_t2_rod-s5,88,  ,  ,2.5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t2,rod-s5,gwb_neaves__d_t2_rod-s5,89,  ,  ,5,  , ,rocky,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d ,t1,rod-s1,gwb_neaves__d _t1_rod-s1,0.7,  ,  ,5,  , ,  ,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t1,rod-s1,gwb_neaves__d_t1_rod-s1,7,  ,  ,2.5,  , ,  ,,,,,,,,
17-Apr-24,"RG, AD",  ,  ,gwb_neaves,,d,t1,rod-s1,gwb_neaves__d_t1_rod-s1,8.1,  ,  ,2.5,  , ,  ,,,,,,,,
