Date,Region name,Site name,Survey type,p1,p2,d,Plot number,Round,ditchVSfield_analysis,floralVSburrow_analysis,notes
2024-04-01,pittmeadows,bks_neaves,rodent,y,y,n,p1 and p2. ditch sampled May 1.,2024_r1,y,n,no_powder
2024-04-01,pittmeadows,gwb_neaves,rodent,y,y,n,p1 and p2. ditch sampled April 17,2024_r1,y,n,no_powder
2024-04-13,delta_2,chong_96,vegetation,n,y,n,p2,2024_r1,y,y,
2024-04-13,delta_2,chong_96,bombus,y,y,n,p1 and p2,2024_r1,y,y,
2024-04-15,delta_3,bates_57b,bombus,y,y,n,p1 and p2,2024_r1,y,y,
2024-04-16,delta_3,bates_57b,rodent,y,y,n,"p1 and p2. ditch sampled on May 6, 2024.",2024_r1,y,n,no_powder
2024-04-16,delta_3,bates_57b,vegetation,y,y,n,p1 and p2,2024_r1,y,y,
2024-04-17,pittmeadows,gwb_neaves,rodent,n,n,y,d,2024_r1,y,n,no_powder
2024-04-18,delta_1,bks_68,vegetation,y,y,y,all,2024_r1,y,y,
2024-04-18,delta_2,bks_96,vegetation,y,y,y,all,2024_r1,y,y,
2024-04-18,delta_1,bks_68,bombus,y,y,y,all,2024_r1,y,y,
2024-04-18,delta_2,bks_96,bombus,y,y,y,all,2024_r1,y,y,
2024-04-18,delta_2,chong_96,vegetation,y,n,y,p1 and d,2024_r1,y,y,
2024-04-18,delta_2,chong_96,bombus,n,n,y,d,2024_r1,y,y,
2024-04-19,delta_3,bates_57b,vegetation,n,n,y,d,2024_r1,y,y,
2024-04-19,delta_3,bates_57b,bombus,n,n,y,d,2024_r1,y,y,
2024-04-19,delta_3,bks_56,vegetation,y,y,y,all,2024_r1,y,y,
2024-04-19,delta_3,bks_56,bombus,y,y,y,all,2024_r1,y,y,
2024-04-21,delta_1,chong_68,vegetation,y,y,y,all,2024_r1,y,y,
2024-04-21,delta_1,chong_68,bombus,y,y,y,all,2024_r1,y,y,
2024-04-23,surrey,avtar_168,vegetation,n,y,y,all except p1 t2 (redone on April 26),2024_r1,y,y,
2024-04-24,surrey,surjit_168,rodent,y,y,n,"p1 and p2. ditch sampled April 26, 2024",2024_r1,y,n,no_powder
2024-04-24,surrey,surjit_168,vegetation,y,y,y,all,2024_r1,y,y,
2024-04-26,surrey,avtar_168,rodent,n,n,y,d,2024_r1,y,n,no_powder
2024-04-26,surrey,surjit_168,rodent,n,n,y,d,2024_r1,y,n,no_powder
2024-04-26,surrey,avtar_168,vegetation,y,n,n,p1 t2,2024_r1,y,y,
2024-04-26,surrey,avtar_168,bombus,y,y,y,all,2024_r1,y,y,
2024-04-26,surrey,surjit_168,bombus,y,y,y,all,2024_r1,y,y,
2024-04-30,pittmeadows,gwb_neaves,vegetation,y,y,y,all,2024_r1,y,y,
2024-04-30,pittmeadows,bks_neaves,vegetation,y,y,y,all,2024_r1,y,y,
2024-04-30,pittmeadows,gwb_neaves,bombus,y,y,y,all,2024_r1,y,y,
2024-05-01,pittmeadows,bks_neaves,rodent,n,n,y,d,2024_r1,y,n,no_powder
2024-05-01,pittmeadows,bks_neaves,bombus,y,y,y,all,2024_r1,y,y,
2024-05-03,delta_1,bks_68,rodent,y,y,y,all,2024_r1,y,n,no_powder
2024-05-03,delta_1,chong_68,rodent,y,y,y,all,2024_r1,y,n,no_powder
2024-05-06,delta_2,bks_96,rodent,y,y,y,all,2024_r1,y,n,no_powder
2024-05-06,delta_2,chong_96,rodent,y,y,y,all,2024_r1,y,n,no_powder
2024-05-06,delta_3,bates_57b,rodent,n,n,y,d,2024_r1,y,n,no_powder
2024-05-06,delta_3,bks_56,rodent,y,y,y,all,2024_r1,y,n,no_powder
2024-05-14,delta_1,bks_68,vegetation,y,y,y,all,2024_r2,y,y,
2024-05-14,delta_1,chong_68,vegetation,y,y,y,all,2024_r2,y,y,
2024-05-14,delta_1,bks_68,bombus,y,y,y,all,2024_r2,y,y,
2024-05-14,delta_1,chong_68,bombus,y,y,y,all,2024_r2,y,y,
2024-05-15,delta_2,bks_96,vegetation,y,y,y,all,2024_r2,y,y,
2024-05-15,delta_2,chong_96,vegetation,y,y,y,all,2024_r2,y,y,
2024-05-15,delta_2,bks_96,bombus,y,y,y,all,2024_r2,y,y,
2024-05-15,delta_2,chong_96,bombus,y,y,y,all,2024_r2,y,y,
2024-05-22,pittmeadows,bks_neaves,vegetation,y,y,y,all,2024_r2,y,y,
2024-05-22,pittmeadows,bks_neaves,bombus,y,y,y,all,2024_r2,y,y,
2024-05-22,pittmeadows,gwb_neaves,bombus,y,y,y,all,2024_r2,y,y,
2024-05-22,pittmeadows,gwb_neaves,vegetation,y,y,y,all,2024_r2,y,y,
2024-05-23,surrey,avtar_168,rodent,y,y,n,"p1 and p2. ditch sampled April 26, 2024",2024_r1,y,n,no_powder
2024-05-23,surrey,avtar_168,vegetation,y,y,y,all,2024_r2,y,y,
2024-05-23,surrey,avtar_168,bombus,y,y,y,all,2024_r2,y,y,
2024-05-23,surrey,surjit_168,vegetation,y,n,n,p1 and ditch floral abundance,2024_r2,y,y,
2024-05-24,surrey,surjit_168,bombus,y,y,y,all,2024_r2,y,y,
2024-05-24,surrey,surjit_168,vegetation,n,y,y,"p2 and ditch (p1 and ditch floral abundance surveyed on May 23, 2024)",2024_r2,y,y,
2024-06-05,delta_4,lbf_ladnertrunk,bombus,y,y,y,all,2024_r2,y,y,
