site,round,plots
bates_57b,2024_r1,p1
bates_57b,2024_r1,p2
bates_57b,2024_r1,d
bates_57b,2024_r2,p1
bates_57b,2024_r2,p2
bates_57b,2024_r2,d
bates_57b,2024_r3,p1
bates_57b,2024_r3,p2
bates_57b,2024_r3,d
bates_57b,2025_r1,p1
bates_57b,2025_r1,p2
bates_57b,2025_r1,d
bates_57b,2025_r2,p1
bates_57b,2025_r2,p2
bates_57b,2025_r2,d
bates_57b,2025_r3,p1
bates_57b,2025_r3,p2
bates_57b,2025_r3,d
bks_56,2024_r1,p1
bks_56,2024_r1,p2
bks_56,2024_r1,d
bks_56,2024_r2,p1
bks_56,2024_r2,p2
bks_56,2024_r2,d
bks_56,2024_r3,p1
bks_56,2024_r3,p2
bks_56,2024_r3,d
bks_56,2025_r1,p1
bks_56,2025_r1,p2
bks_56,2025_r1,d
bks_56,2025_r2,p1
bks_56,2025_r2,p2
bks_56,2025_r2,d
bks_56,2025_r3,p1
bks_56,2025_r3,p2
bks_56,2025_r3,d
chong_68,2024_r1,p1
chong_68,2024_r1,p2
chong_68,2024_r1,d
chong_68,2024_r2,p1
chong_68,2024_r2,p2
chong_68,2024_r2,d
chong_68,2024_r3,p1
chong_68,2024_r3,p2
chong_68,2024_r3,d
chong_68,2025_r1,p1
chong_68,2025_r1,p2
chong_68,2025_r1,d
chong_68,2025_r2,p1
chong_68,2025_r2,p2
chong_68,2025_r2,d
chong_68,2025_r3,p1
chong_68,2025_r3,p2
chong_68,2025_r3,d
bks_68,2024_r1,p1
bks_68,2024_r1,p2
bks_68,2024_r1,d
bks_68,2024_r2,p1
bks_68,2024_r2,p2
bks_68,2024_r2,d
bks_68,2024_r3,p1
bks_68,2024_r3,p2
bks_68,2024_r3,d
bks_68,2025_r1,p1
bks_68,2025_r1,p2
bks_68,2025_r1,d
bks_68,2025_r2,p1
bks_68,2025_r2,p2
bks_68,2025_r2,d
bks_68,2025_r3,p1
bks_68,2025_r3,p2
bks_68,2025_r3,d
chong_96,2024_r1,p1
chong_96,2024_r1,p2
chong_96,2024_r1,d
chong_96,2024_r2,p1
chong_96,2024_r2,p2
chong_96,2024_r2,d
chong_96,2024_r3,p1
chong_96,2024_r3,p2
chong_96,2024_r3,d
chong_96,2025_r1,p1
chong_96,2025_r1,p2
chong_96,2025_r1,d
chong_96,2025_r2,p1
chong_96,2025_r2,p2
chong_96,2025_r2,d
chong_96,2025_r3,p1
chong_96,2025_r3,p2
chong_96,2025_r3,d
bks_96,2024_r1,p1
bks_96,2024_r1,p2
bks_96,2024_r1,d
bks_96,2024_r2,p1
bks_96,2024_r2,p2
bks_96,2024_r2,d
bks_96,2024_r3,p1
bks_96,2024_r3,p2
bks_96,2024_r3,d
bks_96,2025_r1,p1
bks_96,2025_r1,p2
bks_96,2025_r1,d
bks_96,2025_r2,p1
bks_96,2025_r2,p2
bks_96,2025_r2,d
bks_96,2025_r3,p1
bks_96,2025_r3,p2
bks_96,2025_r3,d
gwb_neaves,2024_r1,p1
gwb_neaves,2024_r1,p2
gwb_neaves,2024_r1,d
gwb_neaves,2024_r2,p1
gwb_neaves,2024_r2,p2
gwb_neaves,2024_r2,d
gwb_neaves,2024_r3,p1
gwb_neaves,2024_r3,p2
gwb_neaves,2024_r3,d
gwb_neaves,2025_r1,p1
gwb_neaves,2025_r1,p2
gwb_neaves,2025_r1,d
gwb_neaves,2025_r2,p1
gwb_neaves,2025_r2,p2
gwb_neaves,2025_r2,d
gwb_neaves,2025_r3,p1
gwb_neaves,2025_r3,p2
gwb_neaves,2025_r3,d
bks_neaves,2024_r1,p1
bks_neaves,2024_r1,p2
bks_neaves,2024_r1,d
bks_neaves,2024_r2,p1
bks_neaves,2024_r2,p2
bks_neaves,2024_r2,d
bks_neaves,2024_r3,p1
bks_neaves,2024_r3,p2
bks_neaves,2024_r3,d
bks_neaves,2025_r1,p1
bks_neaves,2025_r1,p2
bks_neaves,2025_r1,d
bks_neaves,2025_r2,p1
bks_neaves,2025_r2,p2
bks_neaves,2025_r2,d
bks_neaves,2025_r3,p1
bks_neaves,2025_r3,p2
bks_neaves,2025_r3,d
avtar_168,2024_r1,p1
avtar_168,2024_r1,p2
avtar_168,2024_r1,d
avtar_168,2024_r2,p1
avtar_168,2024_r2,p2
avtar_168,2024_r2,d
avtar_168,2024_r3,p1
avtar_168,2024_r3,p2
avtar_168,2024_r3,d
avtar_168,2025_r1,p1
avtar_168,2025_r1,p2
avtar_168,2025_r1,d
avtar_168,2025_r2,p1
avtar_168,2025_r2,p2
avtar_168,2025_r2,d
avtar_168,2025_r3,p1
avtar_168,2025_r3,p2
avtar_168,2025_r3,d
surjit_168,2024_r1,p1
surjit_168,2024_r1,p2
surjit_168,2024_r1,d
surjit_168,2024_r2,p1
surjit_168,2024_r2,p2
surjit_168,2024_r2,d
surjit_168,2024_r3,p1
surjit_168,2024_r3,p2
surjit_168,2024_r3,d
surjit_168,2025_r1,p1
surjit_168,2025_r1,p2
surjit_168,2025_r1,d
surjit_168,2025_r2,p1
surjit_168,2025_r2,p2
surjit_168,2025_r2,d
surjit_168,2025_r3,p1
surjit_168,2025_r3,p2
surjit_168,2025_r3,d
sandhu_ladnertrunk,2024_r2,p1
sandhu_ladnertrunk,2024_r2,p2
sandhu_ladnertrunk,2024_r2,d
sandhu_ladnertrunk,2024_r3,p1
sandhu_ladnertrunk,2024_r3,p2
sandhu_ladnertrunk,2024_r3,d
sandhu_ladnertrunk,2025_r1,p1
sandhu_ladnertrunk,2025_r1,p2
sandhu_ladnertrunk,2025_r1,d
sandhu_ladnertrunk,2025_r2,p1
sandhu_ladnertrunk,2025_r2,p2
sandhu_ladnertrunk,2025_r2,d
sandhu_ladnertrunk,2025_r3,p1
sandhu_ladnertrunk,2025_r3,p2
sandhu_ladnertrunk,2025_r3,d
lbf_ladnertrunk,2024_r2,p1
lbf_ladnertrunk,2024_r2,p2
lbf_ladnertrunk,2024_r2,d
lbf_ladnertrunk,2024_r3,p1
lbf_ladnertrunk,2024_r3,p2
lbf_ladnertrunk,2024_r3,d
lbf_ladnertrunk,2025_r1,p1
lbf_ladnertrunk,2025_r1,p2
lbf_ladnertrunk,2025_r1,d
lbf_ladnertrunk,2025_r2,p1
lbf_ladnertrunk,2025_r2,p2
lbf_ladnertrunk,2025_r2,d
lbf_ladnertrunk,2025_r3,p1
lbf_ladnertrunk,2025_r3,p2
lbf_ladnertrunk,2025_r3,d
