flower_species,flower_code
acer_pseudoplatanus,acps
achillea_millefolium,acmi
aesculus_hippocastanum,aehi
anthemis_cotula,anco
antirrhinum_majus,anma
aqualegia_vulgaris,aqvu
asparagus_officinalis,asof
baptisia_australis,baau
bistorta_amplexicaulis,biam
bidens_amplissima,biam
bidens_frondosa,bifr
borago_officinalis,boof
brassicaceae,NA
brassica_rapa,brra
capsella_bursa-pastoris,cabu
campanula_poscharskyana,capo
calystegia_silvatica,casi
centaurea_cyanus,cecy
centaurea_diffusa,cedi
cerastium_fontanum,cefo
ceanothus_thyrsiflorus,ceth
chamaenerion_angustifolium,chan
cirsium_arvense,ciar
cirsium_vulgare,civu
convolvulus_arvensis,coar
cornus_sericea,cose
coreopsis_tinctoria,coti
convolvulus_vulgaris?,covu
crepis_capillaris,crca
crataegus_monogyna,crmo
cyanus_montanus,cymo
cytisus_scoparius,cysc
cyanus_segetum,cyse
daucus_carota,daca
dahlia_pinnata,dapi
dicentra_formosa,difo
digitalis_purpurea,dipu
diervilla_sessilifolia,dise
echinacea_purpurea,ecpu
echinops_sphaerocephalus,ecsp
epilobium_ciliatum,epci
eriocapitella_hupehensis,erhu
fallopia_convolvulus,faco
galeopsis_bifida,gabi
geranium_dissectum,gedi
geranium_x_oxonianum,gex
geranium_robertianum,gero
heuchera_americanum,heam
hesperis_matronalis,hema
helianthus_pauciflorus,hepa
hosta_ventricosa,hove
hydrangea_arborescens,hyar
hyacinthoides_non-scripta,hyno
hypericum_perforatum,hype
hypochaeris_radicata,hyra
impatiens_glandulifera,imgl
iris_pseudacorus,irps
jacobaea_vulgare,javu
kniphofia_uvaria,knuv
lavandula_angustifolia,laan
laburnum_anagyroides,laan
lapsana_communis,laco
lavandula_x_intermedia,lax
lavandula_latifolia,lala
lamium_purpureum,lapu
lathyrus_sylvestris,lasy
lepidium_campestre,leca
linaria_vulgaris,livu
lotus_corniculatus,loco
lobelia_erinus,loer
lonicera_involucrata,loin
lupinus_polyphyllus,lupo
lythrum_salicaria,lysa
malus_domesticus,mado
malva_moschata,mamo
malva_neglecta,mane
malva_sylvestris,masy
melilotus_albus,meal
mentha_longifolia,melo
medicago_sativa,mesa
monarda_didyma,modi
muscari_armeniacum,muar
myosotis_arvensis,myar
nepeta_racemosa,nera
origanum_vulgare,orvu
persicaria_amplexicaulis,peam
persicaria_lapathifolia,pela
persicaria_maculosa,pema
phacelia_campanularia,phca
phacelia_tanacetifolia,phta
phaseolus_vulgaris,phvu
pieris_japonica,pija
pisum_sativum,pisa
plantago_lanceolata,plla
portulaca_oleracea,pool
prunella_vulgaris,prvu
ranunculus_acris,raac
raphanus_raphanastrum,rara
ranunculus_repens,rare
raphanus_sativus,rasa
rhododendron_daphnoides,rhda
rhododendron_spp.,rhsp
rhododendron_ponticum,rhpo
rosa_acicularis,roac
rosa_canina,roca
rosa_nutkana,ronu
rorippa_spp.,rosp
rosa_rugosa,roru
rorippa_sylvestris,rosy
rumex_acetosella,ruac
rubus_armeniacus,ruar
rubus_spp.,rusp
rudbeckia_hirta,ruhi
rubus_laciniatus,rula
rubus_parviflorus,rupa
rubus_spectabilis,rusp
rubus_ursinus,ruur
salvia_nemorosa,sane
salvia_officinalis,saof
salvia_rosmarinus,saro
scorzoneroides_autumnalis,scau
sinapis_arvensis,siar
sisymbrium_officinale,siof
sisymbrium_orientale,sior
sonchus_arvensis,soar
sonchus_asper,soas
sorbus_aucuparia,soau
solidago_canadensis,soca
solanum_dulcamara,sodu
solanum_lycopersicum,soly
solanum_nigrum,soni
solanum_tuberosum,sotu
spirea_douglasii,spdo
spirea_japonica,spja
stellaria_media,stme
symphoricarpos_albus,syal
symphytum_officinale,syof
tagetes_erecta,taer
taraxacum_officinale,taof
tanacetum_parthenium,tapa
tanacetum_vulgare,tavu
trifolium_arvense,trar
trifolium_dubium,trdu
trifolium_hybridum,trhy
tripleurospermum_inodorum,trin
trifolium_medium,trme
trifolium_pratense,trpr
trifolium_repens,trre
tradescantia_virginiana,trvi
vaccinium_corymbosum,vaco
veronicastrum_virginicum,vevi
vicia_cracca,vicr
vicia_hirsuta,vihi
viburnum_opulus,viop
vicia_sativa,visa
vicia_villosa,vivi
wisteria_fuji,wifu
phacelia_hastata,phha
phacelia_linearis,phli
polygonum_majus,poma
potentilla_recta,pore
raphanus_raphanistrum,rara
spiraea_douglasii,spdo
trifolium_alexandrinum,tral
fumaria_muralis,fumu
raphanus_raphanistrum,rara
rosa_sp,rosp
trifolium_alexandrinum,tral
vicia_gigantea,vigi
potentilla_recta,pore
sisymbrium_altissimum,sial
brassica_carinata,brca
calystegia_sp,casp
cichorium_intybus,ciin
helianthus_annuus,hean
prunus_sp,prsp
raphanus_raphanistrum,rara
rosa_sp,rosp
spiraea_douglasii,spdo
trifolium_alexandrinum,tral
vicia_tetrasperma,vite
raphanus_raphanistrum,rara
trifolium_alexandrinum,tral
brassica_carinata,brca
calystegia_sp,casp
helianthus_annuus,hean
phacelia_sp,phsp
raphanus_raphanistrum,rara
rosa_sp,rosp
thlaspi_arvense,thar
trifolium_alexandrinum,tral
vicia_tetrasperma,vite
phacelia_linearis,phli
brassica_carinata,brca
cichorium_intybus,ciin
helianthus_annuus,hean
leucanthemum_vulgare,levu
phacelia_sp,phsp
potentilla_recta,pore
raphanus_raphanistrum,rara
spiraea_douglasii,spdo
trifolium_alexandrinum,tral
potentilla_recta,pore
raphanus_raphanistrum,rara
spiraea_douglasii,spdo
trifolium_alexandrinum,tral
