"area","site_id","plot_type","plot_id","Bombus individuals (count)","Bee species richness","Rodent burrows (count)","Average floral abundance (log-scale)","Floral species richness"
"delta_1","bks_56","ditch","d",33,3,67,3,42
"delta_1","bks_56","field","p1",4,0,4,2.85714285714286,14
"delta_1","bks_56","field","p2",16,5,2,2.47619047619048,21
"delta_2","bks_68","ditch","d",5,3,0,2.27272727272727,22
"delta_2","bks_68","field","p1",15,4,0,3.42857142857143,7
"delta_2","bks_68","field","p2",14,2,2,3.25,8
"delta_3","bks_96","ditch","d",10,4,15,2.76923076923077,39
"delta_3","bks_96","field","p1",12,2,0,3.9,10
"delta_3","bks_96","field","p2",27,4,0,3,14
"delta_4","sandhu_ladnertrunk","ditch","d",28,3,97,2.51351351351351,37
"delta_4","sandhu_ladnertrunk","field","p1",6,3,3,2.53846153846154,13
"delta_4","sandhu_ladnertrunk","field","p2",15,4,6,2.4375,16
"pittmeadows_1","bks_neaves","ditch","d",8,2,14,2.78125,32
"pittmeadows_1","bks_neaves","field","p1",8,2,3,2.5,24
"pittmeadows_1","bks_neaves","field","p2",3,2,9,2.5,14
"surrey_1","surjit_168","ditch","d",1,0,8,2.55102040816327,49
"surrey_1","surjit_168","field","p1",8,1,29,2.92307692307692,13
"surrey_1","surjit_168","field","p2",6,1,10,3,12
