"area","site_id","plot_type","plot_id","Bombus individuals (count)","Bee species richness","Rodent burrows (count)","Average floral abundance (log-scale)","Floral species richness"
"delta_1","bates_57b","ditch","d",44,4,93,2.71739130434783,46
"delta_1","bates_57b","field","p1",24,3,41,3.07142857142857,14
"delta_1","bates_57b","field","p2",19,4,120,2.69230769230769,13
"delta_2","chong_68","ditch","d",5,2,32,2.51724137931034,29
"delta_2","chong_68","field","p1",13,3,86,3.11764705882353,17
"delta_2","chong_68","field","p2",10,2,34,3.66666666666667,15
"delta_3","chong_96","ditch","d",19,3,1,2.45714285714286,35
"delta_3","chong_96","field","p1",7,2,1,3.07692307692308,13
"delta_3","chong_96","field","p2",12,3,0,2.66666666666667,18
"delta_4","lbf_ladnertrunk","ditch","d",10,3,149,2.38709677419355,31
"delta_4","lbf_ladnertrunk","field","p1",6,1,3,2.72222222222222,18
"delta_4","lbf_ladnertrunk","field","p2",11,3,111,2.52941176470588,17
"pittmeadows_1","gwb_neaves","ditch","d",23,3,38,2.76363636363636,55
"pittmeadows_1","gwb_neaves","field","p1",6,1,7,2.33333333333333,21
"pittmeadows_1","gwb_neaves","field","p2",5,1,1,3,23
"surrey_1","avtar_168","ditch","d",13,3,6,2.2,25
"surrey_1","avtar_168","field","p1",44,4,17,4.33333333333333,3
"surrey_1","avtar_168","field","p2",30,4,7,3.5,6
