area,site_id,cover_type,Bombus_2024_r1,Bombus_2024_r2,Bombus_2024_r3,Bombus_2025_r1,Bombus_2025_r2,Bombus_2025_r3,Rodent_2024_r2,Vegetation_2024_r1,Vegetation_2024_r2,Vegetation_2024_r3,Vegetation_2025_r1,Vegetation_2025_r2,Vegetation_2025_r3
delta_1,chong_68,herbaceous,04-21,05-14,06-18,04-04,04-29,06-27,07-09,04-21,05-14,06-18,04-04,04-29,06-27
delta_1,bks_68,bare,04-18,05-14,06-18,04-04,04-29,06-27,07-09,04-18,05-14,06-18,04-04,04-29,06-27
delta_2,chong_96,herbaceous,04-13,05-15,06-19,04-19,05-01,06-27,07-10,04-18,05-15,06-19,04-16,05-01,06-27
delta_2,bks_96,bare,04-18,05-15,06-19,04-19,05-01,06-27,07-10,04-18,05-15,06-19,04-16,05-01,06-27
delta_3,bates_57b,herbaceous,04-15,06-06,06-21,04-11,04-30,06-18,07-23,04-16,06-06,06-21,04-17,04-30,06-18
delta_3,bks_56,bare,04-19,06-06,06-21,04-11,04-30,06-18,08-07,04-19,06-06,06-21,04-17,04-30,06-18
delta_4,lbf_ladnertrunk,herbaceous,,06-05,07-02,04-03,04-27,06-23,07-24,,06-05,07-02,04-03,04-27,06-23
delta_4,sandhu_ladnertrunk,bare,,06-05,07-02,04-03,04-27,06-23,08-12,,06-05,07-02,04-03,04-27,06-23
pittmeadows,gwb_neaves,herbaceous,04-30,05-22,06-20,04-14,05-06,06-24,10-01,04-30,05-22,06-20,04-24,05-06,06-24
pittmeadows,bks_neaves,bare,05-01,05-22,06-20,04-14,05-06,06-24,10-01,04-30,05-22,06-20,04-24,05-06,06-24
surrey,avtar_168,herbaceous,04-26,05-23,07-03,04-18,05-13,06-25,08-06,04-26,05-23,07-03,04-18,05-13,06-25
surrey,surjit_168,bare,04-26,05-24,07-03,04-18,05-13,06-25,08-06,04-24,05-23,07-03,04-18,05-13,06-25
