area,round,Herb Date,Bare Date,Days Apart
delta_2,2024_r1,19826,19831,5
delta_3,2024_r1,19828,19832,4
delta_1,2024_r1,19834,19831,3
surrey,2024_r1,19839,19839,0
pittmeadows,2024_r1,19843,19844,1
delta_1,2024_r2,19857,19857,0
delta_2,2024_r2,19858,19858,0
pittmeadows,2024_r2,19865,19865,0
surrey,2024_r2,19866,19867,1
delta_4,2024_r2,19879,19879,0
delta_3,2024_r2,19880,19880,0
delta_1,2024_r3,19892,19892,0
delta_2,2024_r3,19893,19893,0
pittmeadows,2024_r3,19894,19894,0
delta_3,2024_r3,19895,19895,0
delta_4,2024_r3,19906,19906,0
surrey,2024_r3,19907,19907,0
delta_4,2025_r1,20181,20181,0
delta_1,2025_r1,20182,20182,0
delta_3,2025_r1,20189,20189,0
pittmeadows,2025_r1,20192,20192,0
surrey,2025_r1,20196,20196,0
delta_2,2025_r1,20197,20197,0
delta_4,2025_r2,20205,20205,0
delta_1,2025_r2,20207,20207,0
delta_3,2025_r2,20208,20208,0
delta_2,2025_r2,20209,20209,0
pittmeadows,2025_r2,20214,20214,0
surrey,2025_r2,20221,20221,0
delta_3,2025_r3,20257,20257,0
delta_4,2025_r3,20262,20262,0
pittmeadows,2025_r3,20263,20263,0
surrey,2025_r3,20264,20264,0
delta_1,2025_r3,20266,20266,0
delta_2,2025_r3,20266,20266,0
