area,site_id,round,P1 Date,P2 Date,Days Apart
delta_1,bks_68,2024_r2,19913,19913,0
delta_1,chong_68,2024_r2,19913,19913,0
delta_2,bks_96,2024_r2,19914,19914,0
delta_2,chong_96,2024_r2,19914,19914,0
delta_3,bates_57b,2024_r2,19927,19927,0
delta_4,lbf_ladnertrunk,2024_r2,19928,19928,0
surrey,surjit_168,2024_r2,19941,19941,0
surrey,avtar_168,2024_r2,19941,19941,0
delta_3,bks_56,2024_r2,19942,19942,0
delta_4,sandhu_ladnertrunk,2024_r2,19947,19947,0
pittmeadows,bks_neaves,2024_r2,19997,19997,0
pittmeadows,gwb_neaves,2024_r2,19997,19997,0
