area,site_id,round,P2 Date,P1 Date,Days Apart
delta_2,chong_96,2024_r1,19826,19831,5
delta_3,bates_57b,2024_r1,19829,19829,0
delta_1,bks_68,2024_r1,19831,19831,0
delta_2,bks_96,2024_r1,19831,19831,0
delta_3,bks_56,2024_r1,19832,19832,0
delta_1,chong_68,2024_r1,19834,19834,0
surrey,avtar_168,2024_r1,19836,19839,3
surrey,surjit_168,2024_r1,19837,19837,0
pittmeadows,gwb_neaves,2024_r1,19843,19843,0
pittmeadows,bks_neaves,2024_r1,19843,19843,0
delta_1,bks_68,2024_r2,19857,19857,0
delta_1,chong_68,2024_r2,19857,19857,0
delta_2,bks_96,2024_r2,19858,19858,0
delta_2,chong_96,2024_r2,19858,19858,0
pittmeadows,bks_neaves,2024_r2,19865,19865,0
pittmeadows,gwb_neaves,2024_r2,19865,19865,0
surrey,avtar_168,2024_r2,19866,19866,0
surrey,surjit_168,2024_r2,19867,19866,1
delta_4,lbf_ladnertrunk,2024_r2,19879,19879,0
delta_4,sandhu_ladnertrunk,2024_r2,19879,19879,0
delta_3,bates_57b,2024_r2,19880,19880,0
delta_3,bks_56,2024_r2,19880,19880,0
delta_1,bks_68,2024_r3,19892,19892,0
delta_1,chong_68,2024_r3,19892,19892,0
delta_2,bks_96,2024_r3,19893,19893,0
delta_2,chong_96,2024_r3,19893,19893,0
pittmeadows,bks_neaves,2024_r3,19894,19894,0
pittmeadows,gwb_neaves,2024_r3,19894,19894,0
delta_3,bates_57b,2024_r3,19895,19895,0
delta_3,bks_56,2024_r3,19895,19895,0
delta_4,lbf_ladnertrunk,2024_r3,19906,19906,0
delta_4,sandhu_ladnertrunk,2024_r3,19906,19906,0
surrey,surjit_168,2024_r3,19907,19907,0
surrey,avtar_168,2024_r3,19907,19907,0
delta_4,sandhu_ladnertrunk,2025_r1,20181,20181,0
delta_4,lbf_ladnertrunk,2025_r1,20181,20181,0
delta_1,bks_68,2025_r1,20182,20182,0
delta_1,chong_68,2025_r1,20182,20182,0
delta_2,bks_96,2025_r1,20194,20194,0
delta_2,chong_96,2025_r1,20194,20194,0
delta_3,bates_57b,2025_r1,20195,20195,0
delta_3,bks_56,2025_r1,20195,20195,0
surrey,avtar_168,2025_r1,20196,20196,0
surrey,surjit_168,2025_r1,20196,20196,0
pittmeadows,gwb_neaves,2025_r1,20202,20202,0
pittmeadows,bks_neaves,2025_r1,20202,20202,0
delta_4,sandhu_ladnertrunk,2025_r2,20205,20205,0
delta_4,lbf_ladnertrunk,2025_r2,20205,20205,0
delta_1,chong_68,2025_r2,20207,20207,0
delta_1,bks_68,2025_r2,20207,20207,0
delta_3,bates_57b,2025_r2,20208,20208,0
delta_3,bks_56,2025_r2,20208,20208,0
delta_2,bks_96,2025_r2,20209,20209,0
delta_2,chong_96,2025_r2,20209,20209,0
pittmeadows,gwb_neaves,2025_r2,20214,20214,0
pittmeadows,bks_neaves,2025_r2,20214,20214,0
surrey,avtar_168,2025_r2,20221,20221,0
surrey,surjit_168,2025_r2,20221,20221,0
delta_3,bks_56,2025_r3,20257,20257,0
delta_3,bates_57b,2025_r3,20257,20257,0
delta_4,lbf_ladnertrunk,2025_r3,20262,20262,0
delta_4,sandhu_ladnertrunk,2025_r3,20262,20262,0
pittmeadows,gwb_neaves,2025_r3,20263,20263,0
pittmeadows,bks_neaves,2025_r3,20263,20263,0
surrey,avtar_168,2025_r3,20264,20264,0
surrey,surjit_168,2025_r3,20264,20264,0
delta_1,chong_68,2025_r3,20266,20266,0
delta_1,bks_68,2025_r3,20266,20266,0
delta_2,chong_96,2025_r3,20266,20266,0
delta_2,bks_96,2025_r3,20266,20266,0
