farm_type,farm_name,area,plot_type,cameras
bare,bks_68,delta1,ditch,"bushnell, bushnell"
bare,bks_68,delta1,field1,"bushnell, bushnell"
bare,bks_68,delta1,field2,"bushnell, bushnell"
grass,chong_68,delta1,ditch,"bushnell, bushnell"
grass,chong_68,delta1,field1,"white_flash, white_flash"
grass,chong_68,delta1,field2,"bushnell, bushnell"
bare,bks_96,delta2,ditch,"IR, bushnell"
bare,bks_96,delta2,field1,"IR, bushnell"
bare,bks_96,delta2,field2,"IR, bushnell"
grass,chong_96,delta2,ditch,"bushnell, bushnell"
grass,chong_96,delta2,field1,"bushnell, bushnell"
grass,chong_96,delta2,field2,"bushnell, bushnell"
bare,bks_56,delta3,ditch,"bushnell, white_flash"
bare,bks_56,delta3,field1,"IR, bushnell"
bare,bks_56,delta3,field2,"bushnell, bushnell"
grass,bates_57b,delta3,ditch,"bushnell, IR"
grass,bates_57b,delta3,field1,"white_flash, bushnell"
grass,bates_57b,delta3,field2,"bushnell, bushnell"
bare,sandhu_ladnertrunk,delta4,ditch,"bushnell, bushnell"
bare,sandhu_ladnertrunk,delta4,field1,"white_flash, bushnell"
bare,sandhu_ladnertrunk,delta4,field2,"bushnell, bushnell"
grass,lbf_ladnertrunk,delta4,ditch,"white_flash, bushnell"
grass,lbf_ladnertrunk,delta4,field1,"bushnell, bushnell"
grass,lbf_ladnertrunk,delta4,field2,"IR, bushnell"
bare,bks_neaves,pittmeadows,ditch,"bushnell, IR"
bare,bks_neaves,pittmeadows,field1,"bushnell, bushnell"
bare,bks_neaves,pittmeadows,field2,"white_flash, white_flash"
grass,gwb_neaves,pittmeadows,ditch,"white_flash, bushnell"
grass,gwb_neaves,pittmeadows,field1,"bushnell, IR"
grass,gwb_neaves,pittmeadows,field2,"bushnell, IR"
bare,surjit_168,surrey,ditch,"bushnell, bushnell"
bare,surjit_168,surrey,field1,"bushnell, white_flash"
bare,surjit_168,surrey,field2,"bushnell, bushnell"
grass,avtar_168,surrey,ditch,"bushnell, bushnell"
grass,avtar_168,surrey,field1,"bushnell, IR"
grass,avtar_168,surrey,field2,"bushnell, bushnell"
